Student ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Name,Aadhaar No,Fathers Name,Mother's Maiden Name,Date of Birth,Gender,Maritial Status,Nationality,Correspondence Address,Permanent Address,Mobile No,Telephone No.,Course,Branch,Start Date,Expected End Date,Year,PAN No,Bank Name,Bank_Branch,Account No.,IFSC ,MICR
S-00030,U-0003,C-39450,Adena,9999990030,Ferdinand,Kimberly,,M,Unmarried,Indian,1260 BELL AVE,Same as Previous,12342352,,Btech,IT,,,,P-1263,Icici,,,,231342361
S-00031,U-0003,C-39450,Adina,9999990031,Dorian,Kylan,,M,Unmarried,Indian,7676 BRIDGEVIEW DR,Same as Previous,12342353,,Btech,Ece,,,,P-1264,Sbi,,,,231342362
S-00032,U-0003,C-39450,Adolfo,9999990032,Alec,Madonna,,M,Unmarried,Indian,3816 CYPRESS ST,Same as Previous,12342354,,Btech,Ece,,,,P-1265,Sbi,,,,231342363
S-00033,U-0003,C-39450,Adolph,9999990033,John,Britanni,,M,Unmarried,Indian,1211 23RD ST,Same as Previous,12342355,,Btech,ME,,,,P-1266,Pnb,,,,231342364
S-00034,U-0003,C-39450,Adria,9999990034,Kamal,Yetta,,M,Unmarried,Indian,7001 EAST PKWY,Same as Previous,12342356,,Btech,CE,,,,P-1267,Canara,,,,231342365
S-00035,U-0003,C-39450,Adrian,9999990035,Hayden,Elizabeth,,M,Unmarried,Indian,918 LAKE FRONT DR,Same as Previous,12342357,,Btech,ME,,,,P-1268,Sbi,,,,231342366
S-00036,U-0003,C-39450,Adrian,9999990036,Dante,Daria,,M,Unmarried,Indian,4851 KOKOMO DR,Same as Previous,12342358,,Btech,CE,,,,P-1269,Sbi,,,,231342367
S-00037,U-0003,C-39450,Adriana,9999990037,Addison,Heather,,M,Unmarried,Indian,2377 OAK HARBOUR DR,Same as Previous,12342359,,Btech,Cse,,,,P-1270,Canara,,,,231342368
S-00038,U-0003,C-39450,Adriane,9999990038,Marvin,Anika,,M,Unmarried,Indian,1823 P ST,Same as Previous,12342360,,Btech,Cse,,,,P-1271,Sbi,,,,231342369
S-00039,U-0003,C-39450,Adrianna,9999990039,Duncan,Ayanna,,M,Unmarried,Indian,1100 14TH ST,Same as Previous,12342361,,Btech,IT,,,,P-1272,Hdfc,,,,231342370
S-00040,U-0003,C-39450,Adrianne,9999990040,Slade,Abra,,M,Unmarried,Indian,3301 ARENA BLVD,Same as Previous,12342362,,Btech,Ece,,,,P-1273,Sbi,,,,231342371
S-00041,U-0003,C-39450,Adrien,9999990041,Herman,Portia,,M,Unmarried,Indian,1088 PREGO WAY,Same as Previous,12342363,,Btech,Ece,,,,P-1274,Axis,,,,231342372
S-00042,U-0003,C-39450,Adriene,9999990042,Isaiah,Illiana,,M,Unmarried,Indian,3259 SPINNING ROD WAY,Same as Previous,12342364,,Btech,Cse,,,,P-1275,icici,,,,231342373
S-00043,U-0003,C-39450,Adrienne,9999990043,Galvin,Daria,,M,Unmarried,Indian,1010 J ST,Same as Previous,12342365,,Btech,Cse,,,,P-1276,Uni,,,,231342374
S-00044,U-0003,C-39450,Afton,9999990044,Dieter,McKenzie,,M,Unmarried,Indian,400 BANNON ST,Same as Previous,12342366,,Btech,Me,,,,P-1277,Boi,,,,231342375
S-00045,U-0003,C-39450,Agatha,9999990045,Jacob,Ramona,,M,Unmarried,Indian,6115 63RD ST,Same as Previous,12342367,,Btech,Ce,,,,P-1278,Sbi ,,,,231342376
S-00046,U-0003,C-39450,Agnes,9999990046,Ishmael,Jade,,M,Unmarried,Indian,47 FIRE LEAF CT,Same as Previous,12342368,,Btech,IT,,,,P-1279,Pnb,,,,231342377
S-00047,U-0003,C-39450,Agnus,9999990047,Jarrod,Heidi,,M,Unmarried,Indian,5140 61ST ST,Same as Previous,12342369,,Btech,Cse,,,,P-1280,Sbi,,,,231342378
S-00048,U-0003,C-39450,Agripina,9999990048,Omar,Lenore,,M,Unmarried,Indian,1814 19TH ST,Same as Previous,12342370,,Btech,IT,,,,P-1281,Pnb,,,,231342379
S-00049,U-0003,C-32630,Agueda,9999990049,Upton,Brianna,,M,Unmarried,Indian,6940 27TH ST,Same as Previous,12342371,,Btech,IT,,,,P-1282,Hdfc,,,,231342380
S-00050,U-0003,C-32630,Agustin,9999990050,Clinton,Fiona,,M,Unmarried,Indian,3820 65TH ST,Same as Previous,12342372,,Btech,CSE,,,,P-1283,Sbi,,,,231342381
S-00051,U-0003,C-32630,Agustina,9999990051,Levi,Melyssa,,M,Unmarried,Indian,2829 FLORIN RD,Same as Previous,12342373,,Btech,ECE,,,,P-1284,Uni,,,,231342382
S-00052,U-0003,C-32630,Ahmad,9999990052,Carson,Cally,,M,Unmarried,Indian,1080 APPOLLO WAY,Same as Previous,12342374,,Btech,Cse,,,,P-1285,Axis,,,,231342383
S-00053,U-0003,C-32630,Ahmed,9999990053,Vernon,Constance,,M,Unmarried,Indian,6571 WEATHERFORD WAY,Same as Previous,12342375,,Btech,IT,,,,P-1286,Icici,,,,231342384
S-00054,U-0003,C-32630,Ai,9999990054,Gannon,Courtney,,M,Unmarried,Indian,930 43RD AVE,Same as Previous,12342376,,Btech,Ece,,,,P-1287,Sbi,,,,231342385
S-00055,U-0003,C-32630,Aida,9999990055,Baker,Germane,,M,Unmarried,Indian,2830 E ST,Same as Previous,12342377,,Btech,Ece,,,,P-1288,Sbi,,,,231342386
S-00056,U-0003,C-32630,Aide,9999990056,Eaton,Jorden,,M,Unmarried,Indian,NORTHGATE BLVD / W SILVER EAGLE RD,Same as Previous,12342378,,Btech,ME,,,,P-1289,Pnb,,,,231342387
S-00057,U-0003,C-32630,Aiko,9999990057,Wayne,Sigourney,,M,Unmarried,Indian,6665 STOCKTON BLVD,Same as Previous,12342379,,Btech,CE,,,,P-1290,Canara,,,,231342388
S-00058,U-0003,C-32630,Aileen,9999990058,Jeremy,Hollee,,M,Unmarried,Indian,7811 DEER MEADOW DR,Same as Previous,12342380,,Btech,ME,,,,P-1291,Sbi,,,,231342389
S-00059,U-0003,C-32630,Ailene,9999990059,Brock,Iola,,M,Unmarried,Indian,3RD ST / O ST,Same as Previous,12342381,,Btech,CE,,,,P-1292,Sbi,,,,231342390
S-00060,U-0003,C-32630,Aimee,9999990060,Kennan,Nerea,,M,Unmarried,Indian,27TH ST / J ST,Same as Previous,12342382,,Btech,Cse,,,,P-1293,Canara,,,,231342391
S-00061,U-0003,C-32630,Aisha,9999990061,Dennis,Urielle,,M,Unmarried,Indian,8TH ST / L ST,Same as Previous,12342383,,Btech,Cse,,,,P-1294,Sbi,,,,231342392
S-00062,U-0003,C-32630,Aja,9999990062,Garth,Alana,,M,Unmarried,Indian,7850 COLLEGE TOWN DR,Same as Previous,12342384,,Btech,IT,,,,P-1295,Hdfc,,,,231342393
S-00063,U-0003,C-32630,Akiko,9999990063,Neil,Roanna,,M,Unmarried,Indian,63RD ST / JANSEN DR,Same as Previous,12342385,,Btech,Ece,,,,P-1296,Sbi,,,,231342394
S-00064,U-0003,C-32630,Akilah,9999990064,Lewis,Macy,,M,Unmarried,Indian,11 ALCANON CT,Same as Previous,12342386,,Btech,Ece,,,,P-1297,Axis,,,,231342395
S-00065,U-0003,C-32630,Al,9999990065,Aristotle,Barbara,,M,Unmarried,Indian,TRUXEL RD / SAGINAW CIR,Same as Previous,12342387,,Btech,Cse,,,,P-1298,icici,,,,231342396
S-00066,U-0003,C-32630,Alaina,9999990066,Tyrone,Christine,,M,Unmarried,Indian,2600 N ST,Same as Previous,12342388,,Btech,Cse,,,,P-1299,Uni,,,,231342397
S-00067,U-0003,C-32630,Alaine,9999990067,Vladimir,Courtney,,M,Unmarried,Indian,4740 BECKET WAY,Same as Previous,12342389,,Btech,Me,,,,P-1300,Boi,,,,231342398
S-00068,U-0003,C-32630,Alan,9999990068,Christopher,Willow,,M,Unmarried,Indian,CALVINE RD / CENTER PKWY,Same as Previous,12342390,,Btech,Ce,,,,P-1301,Sbi ,,,,231342399
S-00069,U-0003,C-32630,Alana,9999990069,Tobias,Leah,,M,Unmarried,Indian,6625 VALLEY HI DR,Same as Previous,12342391,,Btech,IT,,,,P-1302,Pnb,,,,231342400
S-00070,U-0003,C-32630,Alane,9999990070,Walter,Martina,,M,Unmarried,Indian,RAINBOW AVE / HOWE AVE,Same as Previous,12342392,,Btech,Cse,,,,P-1303,Sbi,,,,231342401
S-00071,U-0003,C-32630,Alanna,9999990071,William,Vivien,,M,Unmarried,Indian,2500 FLORIN RD,Same as Previous,12342393,,Btech,IT,,,,P-1304,Pnb,,,,231342402
S-00072,U-0003,C-32630,Alayna,9999990072,Vincent,Farrah,,M,Unmarried,Indian,3012 ALBATROSS WAY,Same as Previous,12342394,,Btech,IT,,,,P-1305,Hdfc,,,,231342403
S-00073,U-0003,C-32630,Alba,9999990073,Denton,Marah,,M,Unmarried,Indian,1426 BREWERTON DR,Same as Previous,12342395,,Btech,CSE,,,,P-1306,Sbi,,,,231342404
S-00074,U-0003,C-32630,Albert,9999990074,Kevin,Ava,,M,Unmarried,Indian,FRONT ST / K ST,Same as Previous,12342396,,Btech,ECE,,,,P-1307,Uni,,,,231342405
S-00075,U-0003,C-32630,Albert,9999990075,Chandler,Sierra,,M,Unmarried,Indian,3807 24TH AVE,Same as Previous,12342397,,Btech,Cse,,,,P-1308,Axis,,,,231342406
S-00076,U-0003,C-32630,Alberta,9999990076,Gregory,Lillith,,M,Unmarried,Indian,EMPRESS ST / ARDEN WAY,Same as Previous,12342398,,Btech,IT,,,,P-1309,Icici,,,,231342407
S-00077,U-0003,C-32630,Albertha,9999990077,Donovan,Cecilia,,M,Unmarried,Indian,1415 L ST,Same as Previous,12342399,,Btech,Ece,,,,P-1310,Sbi,,,,231342408
S-00078,U-0003,C-32630,Albertina,9999990078,Rahim,Regan,,M,Unmarried,Indian,2737 SCREECH OWL WAY,Same as Previous,12342400,,Btech,Ece,,,,P-1311,Sbi,,,,231342409
S-00079,U-0003,C-32630,Albertine,9999990079,Barry,Rebekah,,M,Unmarried,Indian,1900 CANTERBURY RD,Same as Previous,12342401,,Btech,ME,,,,P-1312,Pnb,,,,231342410
S-00080,U-0003,C-32630,Alberto,9999990080,Bevis,Summer,,M,Unmarried,Indian,7769 AMHERST ST,Same as Previous,12342402,,Btech,CE,,,,P-1313,Canara,,,,231342411
S-00081,U-0003,C-32630,Albina,9999990081,Colt,Wendy,,M,Unmarried,Indian,100 ROCKMONT CIR,Same as Previous,12342403,,Btech,ME,,,,P-1314,Sbi,,,,231342412
S-00082,U-0003,C-32630,Alda,9999990082,Quamar,Fatima,,M,Unmarried,Indian,8032 TORRENTE WAY,Same as Previous,12342404,,Btech,CE,,,,P-1315,Sbi,,,,231342413
S-00083,U-0003,C-32630,Alden,9999990083,Jamal,Audrey,,M,Unmarried,Indian,POWER INN RD / ELDER CREEK RD,Same as Previous,12342405,,Btech,Cse,,,,P-1316,Canara,,,,231342414
S-00084,U-0003,C-32630,Aldo,9999990084,Abdul,Yeo,,M,Unmarried,Indian,1125 ALHAMBRA BLVD,Same as Previous,12342406,,Btech,Cse,,,,P-1317,Sbi,,,,231342415
S-00085,U-0003,C-32630,Alease,9999990085,Baxter,Yeo,,M,Unmarried,Indian,4128 NORWOOD AVE,Same as Previous,12342407,,Btech,IT,,,,P-1318,Hdfc,,,,231342416
S-00086,U-0003,C-32630,Alec,9999990086,Hunter,McKenzie,,M,Unmarried,Indian,HONOR PKWY / REGENCY PARK CIR,Same as Previous,12342408,,Btech,Ece,,,,P-1319,Sbi,,,,231342417
S-00087,U-0003,C-32630,Alecia,9999990087,Quentin,Deirdre,,M,Unmarried,Indian,3 CLOE CT,Same as Previous,12342409,,Btech,Ece,,,,P-1320,Axis,,,,231342418
S-00088,U-0003,C-32630,Aleen,9999990088,Nolan,Hillary,,M,Unmarried,Indian,8454 COEBURN ST,Same as Previous,12342410,,Btech,Cse,,,,P-1321,icici,,,,231342419
S-00089,U-0003,C-32630,Aleida,9999990089,Harper,Serena,,M,Unmarried,Indian,5620 34TH AVE,Same as Previous,12342411,,Btech,Cse,,,,P-1322,Uni,,,,231342420
S-00090,U-0003,C-32630,Aleisha,9999990090,Joel,Daryl,,M,Unmarried,Indian,BROADWAY / 16TH ST,Same as Previous,12342412,,Btech,Me,,,,P-1323,Boi,,,,231342421
S-00091,U-0003,C-32630,Alejandra,9999990091,Leroy,Minerva,,M,Unmarried,Indian,1414 43RD ST,Same as Previous,12342413,,Btech,Ce,,,,P-1324,Sbi ,,,,231342422
S-00092,U-0003,C-32630,Alejandrina,9999990092,Phelan,Maile,,M,Unmarried,Indian,FLORIN RD / MUNSON WAY,Same as Previous,12342414,,Btech,IT,,,,P-1325,Pnb,,,,231342423
S-00093,U-0003,C-32630,Alejandro,9999990093,Rigel,Desirae,,M,Unmarried,Indian,1 CLAUSS CT,Same as Previous,12342415,,Btech,Cse,,,,P-1326,Sbi,,,,231342424
S-00094,U-0003,C-32630,Alena,9999990094,Malachi,Urielle,,M,Unmarried,Indian,MACK RD / CENTER PKWY,Same as Previous,12342416,,Btech,IT,,,,P-1327,Pnb,,,,231342425
S-00095,U-0003,C-32630,Alene,9999990095,James,Anjolie,,M,Unmarried,Indian,1426 I ST,Same as Previous,12342417,,Btech,IT,,,,P-1328,Hdfc,,,,231342426
S-00096,U-0003,C-32630,Alesha,9999990096,Carson,Alana,,M,Unmarried,Indian,MACK RD / CENTER PKWY,Same as Previous,12342418,,Btech,CSE,,,,P-1329,Sbi,,,,231342427
S-00097,U-0003,C-32630,Aleshia,9999990097,Caleb,Cleo,,M,Unmarried,Indian,1236 EL ENCANTO WAY,Same as Previous,12342419,,Btech,ECE,,,,P-1330,Uni,,,,231342428
S-00098,U-0003,C-32630,Alesia,9999990098,Howard,Jena,,M,Unmarried,Indian,2801 L ST,Same as Previous,12342420,,Btech,Cse,,,,P-1331,Axis,,,,231342429
S-00099,U-0003,C-32630,Alessandra,9999990099,Darius,Ainsley,,M,Unmarried,Indian,2884 DEL PASO BLVD,Same as Previous,12342421,,Btech,IT,,,,P-1332,Icici,,,,231342430
S-00100,U-0003,C-32630,Aleta,9999990100,Neil,Regan,,M,Unmarried,Indian,J ST / 29TH ST,Same as Previous,12342422,,Btech,Ece,,,,P-1333,Sbi,,,,231342431
S-00101,U-0736,C-29246,Aletha,9999990101,Harrison,,,M,Unmarried,Indian,2518 HAWTHORNE ST,Same as Previous,12342423,,Btech,Ece,,,,P-1334,Sbi,,,,231342432
S-00102,U-0736,C-29246,Alethea,9999990102,Addison,,,M,Unmarried,Indian,AZEVEDO DR / YARWOOD WAY,Same as Previous,12342424,,Btech,ME,,,,P-1335,Pnb,,,,231342433
S-00103,U-0736,C-29246,Alethia,9999990103,Castor,,,M,Unmarried,Indian,6021 WILKINSON ST,Same as Previous,12342425,,Btech,CE,,,,P-1336,Canara,,,,231342434
S-00104,U-0736,C-29246,Alex,9999990104,Lucius,,,M,Unmarried,Indian,1200 ROANOKE AVE,Same as Previous,12342426,,Btech,ME,,,,P-1337,Sbi,,,,231342435
S-00105,U-0736,C-29246,Alex,9999990105,Zachary,,,M,Unmarried,Indian,RIO LINDA BLVD / MAIN AVE,Same as Previous,12342427,,Btech,CE,,,,P-1338,Sbi,,,,231342436
S-00106,U-0736,C-29246,Alexa,9999990106,Malik,,,M,Unmarried,Indian,398 FLORIN RD,Same as Previous,12342428,,Btech,Cse,,,,P-1339,Canara,,,,231342437
S-00107,U-0736,C-29246,Alexander,9999990107,Merrill,,,M,Unmarried,Indian,525 EXCHANGE ST,Same as Previous,12342429,,Btech,Cse,,,,P-1340,Sbi,,,,231342438
S-00108,U-0736,C-29246,Alexander,9999990108,Theodore,,,M,Unmarried,Indian,535 LAMPASAS AVE,Same as Previous,12342430,,Btech,IT,,,,P-1341,Hdfc,,,,231342439
S-00109,U-0736,C-29246,Alexandra,9999990109,Jakeem,,,M,Unmarried,Indian,12 GRAND CANYON CT,Same as Previous,12342431,,Btech,Ece,,,,P-1342,Sbi,,,,231342440
S-00110,U-0736,C-29246,Alexandria,9999990110,Zeus,,,M,Unmarried,Indian,3709 PRESIDIO ST,Same as Previous,12342432,,Btech,Ece,,,,P-1343,Axis,,,,231342441
S-00111,U-0736,C-29246,Alexia,9999990111,Tarik,,,M,Unmarried,Indian,FLORIN RD / FRANKLIN BLVD,Same as Previous,12342433,,Btech,Cse,,,,P-1344,icici,,,,231342442
S-00112,U-0736,C-29246,Alexis,9999990112,Reece,,,M,Unmarried,Indian,3615 33RD ST,Same as Previous,12342434,,Btech,Cse,,,,P-1345,Uni,,,,231342443
S-00113,U-0736,C-29246,Alexis,9999990113,Quentin,,,M,Unmarried,Indian,2324 NORTH AVE,Same as Previous,12342435,,Btech,Me,,,,P-1346,Boi,,,,231342444
S-00114,U-0736,C-29246,Alfonso,9999990114,Timon,,,M,Unmarried,Indian,2800 CHATEAU MONTELENA WAY,Same as Previous,12342436,,Btech,Ce,,,,P-1347,Sbi ,,,,231342445
S-00115,U-0736,C-29246,Alfonzo,9999990115,Howard,,,M,Unmarried,Indian,1820 FRIENZA AVE,Same as Previous,12342437,,Btech,IT,,,,P-1348,Pnb,,,,231342446
S-00116,U-0736,C-29246,Alfred,9999990116,Blake,,,M,Unmarried,Indian,2230 J ST,Same as Previous,12342438,,Btech,Cse,,,,P-1349,Sbi,,,,231342447
S-00117,U-0736,C-29246,Alfreda,9999990117,Elton,,,M,Unmarried,Indian,6581 HARMON DR,Same as Previous,12342439,,Btech,IT,,,,P-1350,Pnb,,,,231342448
S-00118,U-0736,C-29246,Alfredia,9999990118,Sylvester,,,M,Unmarried,Indian,6054 RIVERSIDE BLVD,Same as Previous,12342440,,Btech,IT,,,,P-1351,Hdfc,,,,231342449
S-00119,U-0736,C-29246,Alfredo,9999990119,Zeph,,,M,Unmarried,Indian,1545 RIVER PARK DR,Same as Previous,12342441,,Btech,CSE,,,,P-1352,Sbi,,,,231342450
S-00120,U-0736,C-29246,Ali,9999990120,Cain,,,M,Unmarried,Indian,1287 TRAIL END WAY,Same as Previous,12342442,,Btech,ECE,,,,P-1353,Uni,,,,231342451
S-00121,U-0736,C-29246,Ali,9999990121,Geoffrey,,,M,Unmarried,Indian,2215 BORONA WAY,Same as Previous,12342443,,Btech,Cse,,,,P-1354,Axis,,,,231342452
S-00122,U-0736,C-29246,Alia,9999990122,Malachi,,,M,Unmarried,Indian,6 SHELTER POINT CT,Same as Previous,12342444,,Btech,IT,,,,P-1355,Icici,,,,231342453
S-00123,U-0736,C-29246,Alica,9999990123,Jermaine,,,M,Unmarried,Indian,970 FRIENZA AVE,Same as Previous,12342445,,Btech,Ece,,,,P-1356,Sbi,,,,231342454
S-00124,U-0736,C-29246,Alice,9999990124,Hedley,,,M,Unmarried,Indian,1631 W EL CAMINO AVE,Same as Previous,12342446,,Btech,Ece,,,,P-1357,Sbi,,,,231342455
S-00125,U-0736,C-29246,Alicia,9999990125,Dylan,,,M,Unmarried,Indian,SWEET PEA WAY / SHADY ARBOR CT,Same as Previous,12342447,,Btech,ME,,,,P-1358,Pnb,,,,231342456
S-00126,U-0736,C-29246,Alida,9999990126,Hamish,,,M,Unmarried,Indian,RIO LINDA BLVD / MAIN AVE,Same as Previous,12342448,,Btech,CE,,,,P-1359,Canara,,,,231342457
S-00127,U-0736,C-29246,Alina,9999990127,Harlan,,,M,Unmarried,Indian,5878 KAHARA CT,Same as Previous,12342449,,Btech,ME,,,,P-1360,Sbi,,,,231342458
S-00128,U-0736,C-29246,Aline,9999990128,Xenos,,,M,Unmarried,Indian,18 GODELLO CT,Same as Previous,12342450,,Btech,CE,,,,P-1361,Sbi,,,,231342459
S-00129,U-0736,C-29246,Alisa,9999990129,Abraham,,,M,Unmarried,Indian,7850 COLLEGE TOWN DR,Same as Previous,12342451,,Btech,Cse,,,,P-1362,Canara,,,,231342460
S-00130,U-0736,C-29246,Alise,9999990130,Ferdinand,,,M,Unmarried,Indian,4947 KOKOMO DR,Same as Previous,12342452,,Btech,Cse,,,,P-1363,Sbi,,,,231342461
S-00131,U-0736,C-29246,Alisha,9999990131,Dorian,,,M,Unmarried,Indian,HOWE AVE / AMERICAN RIVER DR,Same as Previous,12342453,,Btech,IT,,,,P-1364,Hdfc,,,,231342462
S-00132,U-0736,C-29246,Alishia,9999990132,Alec,,,M,Unmarried,Indian,4650 NATOMAS BLVD,Same as Previous,12342454,,Btech,Ece,,,,P-1365,Sbi,,,,231342463
S-00133,U-0736,C-29246,Alisia,9999990133,John,,,M,Unmarried,Indian,3724 SAN CARLOS WAY,Same as Previous,12342455,,Btech,Ece,,,,P-1366,Axis,,,,231342464
S-00134,U-0736,C-29246,Alison,9999990134,Kamal,,,M,Unmarried,Indian,4410 CRESTWOOD WAY,Same as Previous,12342456,,Btech,Cse,,,,P-1367,icici,,,,231342465
S-00135,U-0736,C-29246,Alissa,9999990135,Hayden,,,M,Unmarried,Indian,1500 TESSA AVE,Same as Previous,12342457,,Btech,Cse,,,,P-1368,Uni,,,,231342466
S-00136,U-0736,C-29246,Alita,9999990136,Dante,,,M,Unmarried,Indian,7500 HOSPITAL DR,Same as Previous,12342458,,Btech,Me,,,,P-1369,Boi,,,,231342467
S-00137,U-0736,C-29246,Alix,9999990137,Addison,,,M,Unmarried,Indian,8545 FOLSOM BLVD,Same as Previous,12342459,,Btech,Ce,,,,P-1370,Sbi ,,,,231342468
S-00138,U-0736,C-29246,Aliza,9999990138,Marvin,,,M,Unmarried,Indian,8105 PHINNEY DR,Same as Previous,12342460,,Btech,IT,,,,P-1371,Pnb,,,,231342469
S-00139,U-0736,C-29246,Alla,9999990139,Duncan,,,M,Unmarried,Indian,401 J ST,Same as Previous,12342461,,Btech,Cse,,,,P-1372,Sbi,,,,231342470
