Aadhar No,Full Name,Date Of Birth,Gender,Address,Fathers Name
9999990082,Sylvia Foulston,01-Apr-07,M,POWER INN RD / ELDER CREEK RD,Jamal
9999990083,Bryan Davis,01-Oct-06,M,1125 ALHAMBRA BLVD,Abdul
9999990084,Joy Bell,01-Jun-07,M,4128 NORWOOD AVE,Baxter
9999990085,Joy Bell,01-Jan-07,M,HONOR PKWY / REGENCY PARK CIR,Hunter
9999990086,Joy Bell,01-Jan-07,M,3 CLOE CT,Quentin
9999990087,Alan Barnes,01-Dec-06,M,8454 COEBURN ST,Nolan
9999990088,Grant Carroll,01-Jan-07,M,5620 34TH AVE,Harper
9999990089,Grant Carroll,01-Jan-07,M,BROADWAY / 16TH ST,Joel
9999990090,Grant Carroll,25-Jun-08,M,1414 43RD ST,Leroy
9999990091,Delfina Latchford,01-Apr-07,M,FLORIN RD / MUNSON WAY,Phelan
9999990092,Don Jones,01-May-07,M,1 CLAUSS CT,Rigel
9999990093,Doug Bickford,07-Apr-08,M,MACK RD / CENTER PKWY,Malachi
9999990094,Doug Bickford,01-Dec-07,M,1426 I ST,James
9999990095,Doug Bickford,01-May-06,M,MACK RD / CENTER PKWY,Carson
9999990096,Jamie Kunitz,01-Apr-05,M,1236 EL ENCANTO WAY,Caleb
9999990097,Anthony Johnson,01-Feb-06,M,2801 L ST,Howard
9999990098,Ralph Knight,01-Aug-06,M,2884 DEL PASO BLVD,Darius
9999990099,Allen Rosenblatt,01-Feb-05,M,J ST / 29TH ST,Neil
9999990100,Barry Weirich,01-Sep-07,M,2518 HAWTHORNE ST,
9999990101,Doug Bickford,26-Jun-08,M,AZEVEDO DR / YARWOOD WAY,
9999990102,Carl Jackson,01-Oct-06,M,6021 WILKINSON ST,
9999990103,Brendan Dodson,01-Oct-05,M,1200 ROANOKE AVE,
9999990104,Edward Hooks,01-Jul-04,M,RIO LINDA BLVD / MAIN AVE,
9999990105,Jamie Kunitz,26-Feb-08,M,398 FLORIN RD,
9999990106,Jamie Kunitz,01-Jan-07,M,525 EXCHANGE ST,
9999990107,Michelle Lonsdale,01-Mar-06,F,535 LAMPASAS AVE,
9999990108,Michelle Lonsdale,01-Mar-07,F,12 GRAND CANYON CT,
9999990109,Brendan Dodson,01-Feb-06,F,3709 PRESIDIO ST,
9999990110,Hunter Glantz,01-Feb-07,F,FLORIN RD / FRANKLIN BLVD,
9999990111,Sylvia Foulston,01-Jan-04,F,3615 33RD ST,
9999990112,Eugene Barchas,01-Dec-99,F,2324 NORTH AVE,
9999990113,Jim Radford,01-Oct-00,F,2800 CHATEAU MONTELENA WAY,
9999990114,Carlos Soltero,01-Jan-07,F,1820 FRIENZA AVE,
9999990115,Carlos Soltero,01-Mar-07,F,2230 J ST,
9999990116,Carlos Soltero,09-Jun-08,F,6581 HARMON DR,
9999990117,Carlos Soltero,27-May-08,F,6054 RIVERSIDE BLVD,
9999990118,Jim Radford,01-May-06,F,1545 RIVER PARK DR,
9999990119,Jim Radford,01-Sep-06,F,1287 TRAIL END WAY,
9999990120,Grant Carroll,01-Apr-07,F,2215 BORONA WAY,
9999990121,Grant Carroll,01-Jul-05,F,6 SHELTER POINT CT,
9999990122,Skye Norling,01-Jan-08,F,970 FRIENZA AVE,
9999990123,Doug Bickford,01-May-06,F,1631 W EL CAMINO AVE,
9999990124,Grant Carroll,01-Mar-06,F,SWEET PEA WAY / SHADY ARBOR CT,
9999990125,Muhammed MacIntyre,01-Jan-08,F,RIO LINDA BLVD / MAIN AVE,
9999990126,Muhammed MacIntyre,15-Jan-08,F,5878 KAHARA CT,
9999990127,Muhammed MacIntyre,01-Jul-04,F,18 GODELLO CT,
9999990128,Doug Bickford,01-Jul-05,F,7850 COLLEGE TOWN DR,
9999990129,Doug Bickford,01-Dec-06,F,4947 KOKOMO DR,
9999990130,Beth Thompson,01-Feb-08,F,HOWE AVE / AMERICAN RIVER DR,
9999990131,Ralph Knight,01-Feb-08,F,4650 NATOMAS BLVD,
9999990132,Carl Jackson,01-Feb-05,F,3724 SAN CARLOS WAY,
9999990133,Carl Jackson,01-Oct-06,F,4410 CRESTWOOD WAY,
9999990134,Dorothy Badders,01-Jul-07,F,1500 TESSA AVE,
9999990135,Dorothy Badders,01-Jul-05,F,7500 HOSPITAL DR,
9999990136,Dorothy Badders,01-Oct-07,F,8545 FOLSOM BLVD,
9999990137,Delfina Latchford,01-Sep-06,F,8105 PHINNEY DR,
9999990138,Julia West,01-Jan-04,F,401 J ST,
9999990139,Julia West,01-Oct-05,F,3632 52ND ST,
9999990140,Brad Eason,02-Mar-00,F,SAN FRANCISCO BLVD / 50TH ST,
9999990141,Thomas Seio,01-Mar-00,F,5524 DANJAC CIR,
9999990142,Thomas Seio,01-May-01,F,2571 ALTOS AVE,
9999990143,Thomas Seio,01-Feb-05,F,414 K ST,
9999990144,Monica Federle,11-Sep-06,F,7486 CARELLA DR,
9999990145,Monica Federle,01-Feb-07,F,7TH ST / J ST,
9999990146,Michelle Lonsdale,01-Sep-04,F,5701 LERNER WAY,
9999990147,Frank Price,01-Feb-06,F,1321 E ST,
9999990148,Frank Price,01-Nov-07,F,1912 BOWLING GREEN DR,
9999990149,Bryan Davis,01-Jun-05,F,3555 AUBURN BLVD,
9999990150,Don Jones,01-Apr-08,F,7526 TITIAN PKWY,
9999990151,Carlos Soltero,01-Dec-05,F,12 WATERGLEN CIR,
9999990152,Carlos Soltero,01-Jan-07,F,4733 NASHUA WAY,
9999990153,Nicole Hansen,30-Apr-08,F,971 ACACIA AVE,
9999990154,Nicole Hansen,01-Nov-06,F,3146 PALMER ST,
9999990155,Beth Thompson,01-Nov-03,F,8178 CENTER PKWY,
9999990156,Beth Thompson,01-Oct-04,F,1820 FRIENZA AVE,
9999990157,Beth Thompson,01-Jan-07,F,1689 ARDEN WAY,
9999990158,Nicole Hansen,17-Jun-08,F,1029 FRIENZA AVE,
9999990159,Carlos Soltero,01-Mar-07,F,5770 FREEPORT BLVD,
9999990160,Carlos Soltero,01-Feb-07,F,1113 CONGRESS AVE,
9999990161,Dorothy Badders,01-Jan-06,F,3421 AUBURN BLVD,
9999990162,Muhammed MacIntyre,01-Jul-07,F,560 SANDBURG DR,
9999990163,Muhammed MacIntyre,01-Oct-06,F,7608 AMHERST ST,
9999990164,Don Miller,23-Jan-08,F,3801 DUCKHORN DR,
9999990165,Sylvia Foulston,01-Jul-06,F,5TH ST / P ST,
9999990166,Becky Castell,01-Jan-08,F,7301 MEADOWGATE DR,
9999990167,Dorothy Wardle,01-Jul-07,F,5518 SAGPOND WAY,
9999990168,Dorothy Wardle,01-Jan-06,F,33RD ST / 11TH AVE,
9999990169,Dorothy Wardle,01-Oct-06,F,35 QUAY CT,
9999990170,Ann Chong,07-May-08,F,1814 19TH ST,
9999990171,Ann Chong,01-Mar-05,F,2505 52ND AVE,
9999990172,Ann Chong,01-Mar-06,F,5770 FREEPORT BLVD,
9999990173,Clay Rozendal,01-Mar-07,F,1751 BELL AVE,
9999990174,Grant Carroll,01-Jun-06,F,3661 TRUXEL RD,
9999990175,Brendan Dodson,01-Mar-06,F,3904 MAY ST,
9999990176,Carlos Daly,01-Mar-06,F,1650 BAINES AVE,
9999990177,Alan Barnes,01-Jan-05,F,6272 MACK RD,
9999990178,Alan Barnes,01-Nov-07,F,8389 FOLSOM BLVD,
9999990179,Alan Barnes,20-Jun-08,F,FOLSOM BLVD / WATT AVE,
9999990180,Nicole Hansen,07-Nov-06,F,1801 BELL AVE,
9999990181,Cari Schnelling,05-Oct-05,F,2314 Q ST,
9999990182,Chad Cunningham,01-Sep-06,F,2340 MOSSY BANK DR,
9999990183,Bryan Mills,01-Mar-05,F,8101 COSUMNES RIVER BLVD,
9999990184,Bryan Mills,01-May-06,F,J ST / 17TH ST,
9999990185,Adrian Hane,01-Jul-07,F,8200 CENTER PKWY,
9999990186,Adrian Hane,01-Apr-06,F,6421 SUN RIVER DR,
9999990187,Rick Reed,01-Sep-06,F,3715 IVY ST,
9999990188,Heather Kirkland,01-Jun-08,F,3157 BRIDGEFORD DR,
9999990189,Fred Wasserman,01-Mar-06,F,11TH ST / F ST,
9999990190,Becky Castell,05-Aug-05,F,17TH ST / Q ST,
9999990191,Becky Castell,01-Jan-05,F,FRUITRIDGE RD / 53RD ST,
9999990192,Beth Thompson,01-Dec-06,F,5301 FRUITRIDGE RD,
9999990193,Claudia Miner,01-Aug-05,F,2890 GROVE AVE,
9999990194,Jack Lebron,01-Feb-07,F,2828 CONNIE DR,
9999990195,Alan Barnes,04-Apr-08,F,3700 32ND ST,
9999990196,Carlos Soltero,01-Jan-07,F,1632 BROADWAY,
9999990197,Clay Rozendal,01-Jun-04,F,1729 DIGGS PARK DR,
9999990198,Clay Rozendal,01-Jun-05,F,5301 FRUITRIDGE RD,
9999990199,Julia West,01-Nov-07,F,2700 DEL PASO RD,
9999990200,Alan Barnes,01-Dec-05,F,7290 FRANKLIN BLVD,
9999990201,Joy Bell,01-Sep-07,F,700 N 5TH ST,
9999990202,Joy Bell,01-Jul-07,F,321 ELEANOR AVE,
9999990203,Joy Bell,01-Dec-07,F,321 ELEANOR AVE,
9999990204,Jack Lebron,01-Sep-05,F,7659 MASTERS ST,
9999990205,Anthony Johnson,01-Dec-05,F,3644 DAYTON ST,
9999990206,Anthony Johnson,01-Jul-07,F,2800 BROADWAY,
9999990207,Anthony Johnson,01-Jul-07,F,1418 E ST,
9999990208,Eugene Barchas,01-Aug-07,F,3514 37TH ST,
9999990209,Eugene Barchas,23-Jun-08,F,227 JIBBOOM ST,
9999990210,Thomas Seio,01-May-07,F,78 REDWOOD AVE,
9999990211,Bryan Mills,01-May-07,F,3311 LONG BRANCH CT,
9999990212,Bryan Mills,14-May-05,F,1601 ARDEN WAY,
9999990213,Eugene Barchas,17-Apr-07,F,1701 13TH ST,
9999990214,Sylvia Foulston,01-Jun-08,F,7770 52ND AVE,
9999990215,Sylvia Foulston,01-Mar-06,F,2621 STONECREEK DR,
9999990216,Carl Ludwig,01-Jan-07,F,EL CAMINO AVE / GROVE AVE,
9999990217,Julia West,05-Feb-08,F,3200 TRUXEL RD,
9999990218,Don Jones,01-Jun-07,F,2540 VENTURE OAKS WAY,
9999990219,Mike Pelletier,01-Jul-07,F,1732 ELDRIDGE AVE,
9999990220,Mike Pelletier,01-Jul-07,F,23RD ST / Q ST,
9999990221,Eugene Barchas,01-Dec-07,F,NORTHGATE BLVD / ROSIN CT,
9999990222,Ann Chong,01-Jun-07,F,5530 STOCKTON BLVD,
9999990223,Ann Chong,30-May-08,F,FRANKLIN BLVD / FLORIN RD,
9999990224,Charles McCrossin,01-Jan-05,F,1609 BOWLING GREEN DR,
9999990225,Annie Cyprus,01-Dec-06,F,1422 BREWERTON DR,
9999990226,Annie Cyprus,01-Nov-05,F,2000 DEL PASO BLVD,
9999990227,Carlos Soltero,05-Jun-08,F,MCGLASHAN ST / PERRY AVE,
9999990228,Doug Bickford,01-Dec-06,F,PERRY AVE / 46TH ST,
9999990229,Carlos Daly,01-Dec-07,F,8552 ERINBROOK WAY,
9999990230,Fred Wasserman,01-Jun-06,F,4100 NORTHGATE BLVD,
9999990231,Fred Wasserman,01-Feb-07,F,7901 34TH AVE,
9999990232,Sylvia Foulston,01-Oct-06,F,630 JESSIE AVE,
9999990233,Michelle Lonsdale,01-Mar-06,F,4 WAYNE CT,
9999990234,Sylvia Foulston,01-Jun-07,F,3800 STOCKTON BLVD,
9999990235,Sylvia Foulston,01-Dec-05,F,5907 BAMFORD DR,
9999990236,Sylvia Foulston,01-Jun-05,F,5425 RIO LINDA BLVD,
9999990237,Sylvia Foulston,01-Mar-06,F,2ND ST / I ST,
9999990238,Charlotte Melton,01-Dec-06,F,23RD ST / J ST,
9999990239,Barry French,01-Dec-06,F,2116 MABRY DR,
9999990240,Heather Kirkland,01-Feb-06,F,1906 BOWLING GREEN DR,
9999990241,Heather Kirkland,20-Mar-08,F,330 U ST,
9999990242,Heather Kirkland,01-Jan-07,F,PRINCETON ST / GLENROSE AVE,
9999990243,Henry Goldwyn,01-Apr-07,F,INDIANA AVE / NORTHGATE BLVD,
9999990244,Frank Price,24-Apr-07,F,LEXINGTON ST / FRIENZA AVE,
9999990245,Jim Radford,01-Aug-05,F,65 BRENTFORD CIR,
9999990246,Jim Radford,15-Jul-08,F,VALLEY HI DR / CENTER PKWY,
9999990247,Ralph Knight,01-Jul-06,F,34TH ST / Y ST,
9999990248,Delfina Latchford,01-Feb-06,F,13TH ST / G ST,
9999990249,Delfina Latchford,01-Sep-06,F,1311 63RD ST,
9999990250,Roy Skaria,01-Jul-07,F,4911 8TH AVE,
9999990251,Roy Skaria,21-Apr-08,F,3845 SEA FOREST WAY,
9999990252,Monica Federle,01-Apr-00,F,2481 KRAMERIA AVE,
9999990253,Monica Federle,01-Feb-01,F,6550 PARK RIVIERA WAY,
9999990254,Charles McCrossin,01-Jul-99,F,2531 S ST,
9999990255,Don Miller,01-Oct-06,F,6730 4TH AVE,
9999990256,Jeremy Lonsdale,01-Jun-05,F,200 BICENTENNIAL CIR,
9999990257,Jeremy Lonsdale,01-Mar-06,F,2311 RIVER PLAZA DR,
9999990258,Grant Carroll,01-Nov-99,F,3251 SAN JOSE WAY,
9999990259,Carl Ludwig,01-May-00,F,12TH AVE / LISSETTA AVE,
9999990260,Carlos Daly,01-May-06,F,3345 MABEL ST,
9999990261,Ralph Knight,01-Jun-05,F,1549 JANRICK AVE,
9999990262,Cindy Schnelling,01-Dec-04,F,4108 WEYMOUTH LN,
9999990263,Claudia Miner,01-Feb-06,F,621 CLAIRE AVE,
9999990264,Roy Skaria,19-Dec-07,F,930 43RD AVE,
9999990265,Delfina Latchford,01-Jun-07,F,SAN JUAN RD / BANDON WAY,
9999990266,Edward Hooks,01-Jun-06,F,24TH ST / TEEKAY WAY,
9999990267,Edward Hooks,01-Mar-07,F,BRUCEVILLE RD / CALVINE RD,
9999990268,Don Miller,14-Jul-08,F,2912 CAMARILLO DR,
9999990269,Grant Carroll,01-Aug-07,F,8461 TAMBOR WAY,
9999990270,Grant Carroll,01-Nov-05,F,6421 RIVERSIDE BLVD,
9999990271,Brad Eason,01-Apr-06,F,7553 GREENHAVEN DR,
9999990272,Charles McCrossin,01-Jul-06,F,35TH ST / BROADWAY,
9999990273,Charles McCrossin,01-Aug-07,F,15TH ST / C ST,
9999990274,Charles McCrossin,01-Nov-05,F,1595 SILICA AVE,
9999990275,Charles McCrossin,01-Jun-06,F,ELIZA ST / LOUISE ST,
9999990276,Bryan Mills,21-May-08,F,1240 ALDER TREE WAY,
9999990277,Monica Federle,01-Mar-06,F,3205 42ND ST,
9999990278,Michelle Lonsdale,01-Oct-07,F,1515 NORTH AVE,
9999990279,Michelle Lonsdale,01-Aug-07,F,2801 L ST,
9999990280,Michelle Lonsdale,01-Jul-06,F,2628 27TH ST,
9999990281,Michelle Lonsdale,01-Oct-07,F,3720 CYPRESS ST,
9999990282,Beth Thompson,06-Aug-08,F,ETHAN WAY / HALLMARK DR,
9999990283,Cindy Schnelling,01-Oct-04,F,4635 POWER INN RD,
9999990284,Cindy Schnelling,01-Mar-06,F,10TH ST / K ST,
9999990285,Nicole Hansen,23-Apr-03,F,4TH AVE / REDDING AVE,
9999990286,Nicole Hansen,01-May-07,F,ROANOKE AVE / BELDEN ST,
9999990287,Nicole Hansen,01-Nov-07,F,212 CHRISTINE DR,
9999990288,Cari Schnelling,01-Sep-05,F,2351 NORTHGATE BLVD,
9999990289,Cari Schnelling,01-Dec-06,F,3251 NORTHGATE BLVD,
9999990290,Roy Skaria,01-Mar-07,F,346 LINDLEY DR,
9999990291,Susan Vittorini,01-Aug-07,F,2743 ALBATROSS WAY,
9999990292,Susan Vittorini,01-Apr-08,F,7060 ROCK CREEK WAY,
9999990293,Sylvia Foulston,01-May-07,F,MABEL ST / FORD RD,
9999990294,Sylvia Foulston,01-Feb-08,F,MCNAMARA WAY / BENOIT CT,
9999990295,Chad Cunningham,01-Jul-04,F,RIO LINDA BLVD / CARMELITA AVE,
9999990296,Chad Cunningham,01-Aug-07,F,1328 D ST,
9999990297,Carlos Daly,01-Mar-08,F,BETTY WAY / CAMELLIA AVE,
9999990298,Carlos Daly,01-Feb-05,F,2156 CANTALIER ST,
9999990299,Grant Carroll,01-Oct-07,F,2300 G ST,
9999990300,Julia West,01-Sep-07,F,3824 12TH AVE,
9999990301,Roy Skaria,01-Nov-07,F,HAVENSIDE DR / RIVERSIDE BLVD,
9999990302,Cindy Schnelling,28-Apr-08,F,W ST / 16TH ST,
9999990303,Don Jones,01-Jul-05,F,1960 JOAN WAY,
9999990304,Beth Thompson,01-Sep-06,F,100 CAPITOL MALL,
9999990305,Beth Thompson,09-Jul-08,F,2305 SANDCASTLE WAY,
9999990306,Alan Barnes,01-Dec-05,F,132 OLMSTEAD DR,
9999990307,Alan Barnes,01-Sep-07,F,4780 NATOMAS BLVD,
9999990308,Carl Ludwig,01-Feb-05,F,RICHARDS BLVD / DOS RIOS ST,
9999990309,Carl Ludwig,01-Jul-03,F,5255 MACK RD,
9999990310,Carl Ludwig,01-Sep-04,F,8775 CENTER PKWY,
9999990311,Jamie Kunitz,01-Feb-05,F,8TH AVE / 44TH ST,
9999990312,Heather Kirkland,01-Mar-01,F,1370 RESPONSE RD,
9999990313,Heather Kirkland,01-Jul-04,F,5016 12TH AVE,
9999990314,Heather Kirkland,01-Dec-03,F,8024 ELDER CREEK RD,
9999990315,Doug Bickford,01-Dec-03,F,1701 ARDEN WAY,
9999990316,Doug Bickford,01-Jun-00,F,1690 ARDEN WAY,
9999990317,Doug Bickford,01-Nov-04,F,DOS RIOS ST / RICHARDS BLVD,
9999990318,Doug Bickford,01-Dec-02,F,65TH ST / ELVAS AVE,
9999990319,Carlos Daly,01-Oct-03,F,3550 MARYSVILLE BLVD,
9999990320,Toby Braunhardt,01-Aug-06,F,CALVINE RD / BRUCEVILLE RD,
9999990321,Toby Braunhardt,05-Aug-08,F,1896 ARDEN WAY,
9999990322,Toby Braunhardt,01-May-07,F,3927 MARYSVILLE BLVD,
9999990323,Cari Schnelling,01-Nov-04,F,5100 STOCKTON BLVD,
9999990324,Thomas Seio,01-Jul-05,F,1470 JANRICK AVE,
9999990325,Thomas Seio,01-Dec-05,F,5210 SHORTWAY DR,
9999990326,Thomas Seio,01-May-07,F,3RD ST / L ST,
9999990327,Brendan Dodson,01-Sep-05,F,14TH ST / P ST,
9999990328,Brendan Dodson,10-Jul-08,F,2460 FLORIN RD,
9999990329,Charlotte Melton,01-May-07,F,1730 O ST,
9999990330,Beth Thompson,01-Aug-07,F,1421 OREGON DR,
9999990331,Beth Thompson,07-Feb-08,F,5824 ANNRUD WAY,
9999990332,Eugene Barchas,01-Mar-07,F,ARCADE BLVD / CLAY ST,
9999990333,Michelle Lonsdale,01-May-07,F,2415 L ST,
9999990334,Michelle Lonsdale,01-May-07,F,1831 CAPITOL AVE,
9999990335,Grant Carroll,17-Apr-07,F,2668 STONECREEK DR,
9999990336,Beth Paige,28-Mar-06,F,3950 DEVELOPMENT DR,
9999990337,Dorothy Wardle,01-Aug-05,F,1901 J ST,
9999990338,Muhammed MacIntyre,24-May-07,M,GROVE AVE / ELEANOR AVE,
9999990339,Charlotte Melton,01-May-99,M,3140 J ST,
9999990340,Muhammed MacIntyre,01-Jan-00,M,113 K ST,
9999990341,Claudia Miner,01-Oct-00,M,4700 FREEPORT BLVD,
9999990342,Claudia Miner,01-May-07,M,4331 STOCKTON BLVD,
9999990343,Claudia Miner,01-Aug-07,M,16TH ST / BROADWAY,
9999990344,Brendan Dodson,01-Apr-08,M,1701 O ST,
9999990345,Dorothy Wardle,01-May-07,M,NORTHGATE BLVD / W EL CAMINO AVE,
9999990346,Mike Pelletier,17-May-06,M,SUTTERVILLE RD / FRANKLIN BLVD,
9999990347,Edward Hooks,29-Mar-05,M,2378 GROVE AVE,
9999990348,Edward Hooks,01-Apr-07,M,3500 53RD ST,
9999990349,Jamie Kunitz,01-May-05,M,545 K ST,
9999990350,Jamie Kunitz,01-Jan-08,M,211 HEMFORD CIR,
9999990351,Julia West,01-May-07,M,4680 NATOMAS BLVD,
9999990352,Jeremy Lonsdale,01-May-01,M,3555 AUBURN BLVD,
9999990353,Jeremy Lonsdale,01-Feb-03,M,ACACIA AVE / RIO LINDA BLVD,
9999990354,Jeremy Lonsdale,01-Jun-07,M,3555 AUBURN BLVD,
9999990355,Jeremy Lonsdale,01-Jan-08,M,1253 ACACIA AVE,
9999990356,Cindy Schnelling,01-Sep-07,M,HOWE AVE / FOLSOM BLVD,
9999990357,Heather Kirkland,01-Feb-08,M,725 SAN JUAN RD,
9999990358,Alan Barnes,01-Jun-07,M,6025 DIAS AVE,
9999990359,Hunter Glantz,01-Dec-06,M,3348 DRY BRANCH CT,
9999990360,Hunter Glantz,01-Jun-07,M,547 L ST,
9999990361,Hunter Glantz,01-Jun-07,M,47TH AVE / WOODBINE AVE,
9999990362,Julia West,01-Aug-07,M,1111 LOS ROBLES BLVD,
9999990363,Carlos Daly,01-Jan-06,M,700 K ST,
9999990364,Barry French,01-Jun-06,M,10 FIG LEAF CT,
9999990365,Susan Vittorini,01-Nov-07,M,4400 TRUXEL RD,
