Faculty ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Full Name,Aadhaar No,Father's Name,Mother's Maiden Name,Date of Birth,Gender,Maritial Status,Nationality,Correspondence Address,Permanent Address,Mobile No,Telephone No.,Department,Designation,Date of Joining,Area of Specialisation,Appointment Type,PAN No,Bank Name,Bank_Branch,Account No.,IFSC ,MICR
F-00046,U-0003,C-39450,,9999995892,,,,,Married,INDIAN,,,88882277,,IT,MS,,,,P-4407,Pnb,,,,123456834
F-00047,U-0003,C-39450,,9999995893,,,,,Married,INDIAN,,,88882278,,Cse,Dr,,,,P-4408,Sbi,,,,123456835
F-00048,U-0003,C-39450,,9999995894,,,,,Married,INDIAN,,,88882279,,IT,MS,,,,P-4409,Pnb,,,,123456836
F-00049,U-0003,C-32630,,9999995895,,,,,Un-Married,INDIAN,,,88882280,,IT,Dr,,,,P-4410,Hdfc,,,,123456837
F-00050,U-0003,C-32630,,9999995896,,,,,Married,INDIAN,,,88882281,,CSE,Phd,,,,P-4411,Sbi,,,,123456838
F-00051,U-0003,C-32630,,9999995897,,,,,Married,INDIAN,,,88882282,,ECE,Phd,,,,P-4412,Uni,,,,123456839
F-00052,U-0003,C-32630,,9999995898,,,,,Married,INDIAN,,,88882283,,Cse,MS,,,,P-4413,Axis,,,,123456840
F-00053,U-0003,C-32630,,9999995899,,,,,Married,INDIAN,,,88882284,,IT,Dr,,,,P-4414,Icici,,,,123456841
F-00054,U-0003,C-32630,,9999995900,,,,,Un-Married,INDIAN,,,88882285,,Ece,Dr,,,,P-4415,Sbi,,,,123456842
F-00055,U-0003,C-32630,,9999995901,,,,,Un-Married,INDIAN,,,88882286,,Ece,Dr,,,,P-4416,Sbi,,,,123456843
F-00056,U-0003,C-32630,,9999995902,,,,,Married,INDIAN,,,88882287,,ME,MS,,,,P-4417,Pnb,,,,123456844
F-00057,U-0003,C-32630,,9999995903,,,,,Married,INDIAN,,,88882288,,CE,MS,,,,P-4418,Canara,,,,123456845
F-00058,U-0003,C-32630,,9999995904,,,,,Un-Married,INDIAN,,,88882289,,ME,Dr,,,,P-4419,Sbi,,,,123456846
F-00059,U-0003,C-32630,,9999995905,,,,,Married,INDIAN,,,88882290,,CE,Bsc,,,,P-4420,Sbi,,,,123456847
F-00060,U-0003,C-32630,,9999995906,,,,,Un-Married,INDIAN,,,88882291,,Cse,MS,,,,P-4421,Canara,,,,123456848
F-00061,U-0003,C-32630,,9999995907,,,,,Un-Married,INDIAN,,,88882292,,Cse,Dr,,,,P-4422,Sbi,,,,123456849
F-00062,U-0003,C-32630,,9999995908,,,,,Married,INDIAN,,,88882293,,IT,MS,,,,P-4423,Hdfc,,,,123456850
F-00063,U-0003,C-32630,,9999995909,,,,,Married,INDIAN,,,88882294,,Ece,Dr,,,,P-4424,Sbi,,,,123456851
F-00064,U-0003,C-32630,,9999995910,,,,,Married,INDIAN,,,88882295,,Ece,Phd,,,,P-4425,Axis,,,,123456852
F-00065,U-0003,C-32630,,9999995911,,,,,Married,INDIAN,,,88882296,,Cse,Phd,,,,P-4426,icici,,,,123456853
F-00066,U-0003,C-32630,,9999995912,,,,,Married,INDIAN,,,88882297,,Cse,MS,,,,P-4427,Uni,,,,123456854
F-00067,U-0003,C-32630,,9999995913,,,,,Married,INDIAN,,,88882298,,Me,Dr,,,,P-4428,Boi,,,,123456855
F-00068,U-0003,C-32630,,9999995914,,,,,Married,INDIAN,,,88882299,,Ce,Dr,,,,P-4429,Sbi ,,,,123456856
F-00069,U-0003,C-32630,,9999995915,,,,,Married,INDIAN,,,88882300,,IT,Dr,,,,P-4430,Pnb,,,,123456857
F-00070,U-0003,C-32630,,9999995916,,,,,Married,INDIAN,,,88882301,,Cse,MS,,,,P-4431,Sbi,,,,123456858
F-00071,U-0003,C-32630,,9999995917,,,,,Un-Married,INDIAN,,,88882302,,IT,MS,,,,P-4432,Pnb,,,,123456859
F-00072,U-0003,C-32630,,9999995918,,,,,Married,INDIAN,,,88882303,,IT,Dr,,,,P-4433,Hdfc,,,,123456860
F-00073,U-0003,C-32630,,9999995919,,,,,Married,INDIAN,,,88882304,,CSE,Bsc,,,,P-4434,Sbi,,,,123456861
F-00074,U-0003,C-32630,,9999995920,,,,,Married,INDIAN,,,88882305,,ECE,MS,,,,P-4435,Uni,,,,123456862
F-00075,U-0003,C-32630,,9999995921,,,,,Married,INDIAN,,,88882306,,Cse,Dr,,,,P-4436,Axis,,,,123456863
F-00076,U-0003,C-32630,,9999995922,,,,,Un-Married,INDIAN,,,88882307,,IT,MS,,,,P-4437,Icici,,,,123456864
F-00077,U-0003,C-32630,,9999995923,,,,,Un-Married,INDIAN,,,88882308,,Ece,Dr,,,,P-4438,Sbi,,,,123456865
F-00078,U-0003,C-32630,,9999995924,,,,,Married,INDIAN,,,88882309,,Ece,Dr,,,,P-4439,Sbi,,,,123456866
F-00079,U-0003,C-32630,,9999995925,,,,,Married,INDIAN,,,88882310,,ME,Dr,,,,P-4440,Pnb,,,,123456867
F-00080,U-0003,C-32630,,9999995926,,,,,Un-Married,INDIAN,,,88882311,,CE,MS,,,,P-4441,Canara,,,,123456868
F-00081,U-0003,C-32630,,9999995927,,,,,Married,INDIAN,,,88882312,,ME,MS,,,,P-4442,Sbi,,,,123456869
F-00082,U-0003,C-32630,,9999995928,,,,,Un-Married,INDIAN,,,88882313,,CE,Dr,,,,P-4443,Sbi,,,,123456870
F-00083,U-0003,C-32630,,9999995929,,,,,Un-Married,INDIAN,,,88882314,,Cse,Bsc,,,,P-4444,Canara,,,,123456871
F-00084,U-0003,C-32630,,9999995930,,,,,Married,INDIAN,,,88882315,,Cse,MS,,,,P-4445,Sbi,,,,123456872
F-00085,U-0003,C-32630,,9999995931,,,,,Married,INDIAN,,,88882316,,IT,Dr,,,,P-4446,Hdfc,,,,123456873
F-00086,U-0003,C-32630,,9999995932,,,,,Married,INDIAN,,,88882317,,Ece,MS,,,,P-4447,Sbi,,,,123456874
F-00087,U-0003,C-32630,,9999995933,,,,,Married,INDIAN,,,88882318,,Ece,Dr,,,,P-4448,Axis,,,,123456875
F-00088,U-0003,C-32630,,9999995934,,,,,Married,INDIAN,,,88882319,,Cse,Phd,,,,P-4449,icici,,,,123456876
F-00089,U-0003,C-32630,,9999995935,,,,,Married,INDIAN,,,88882320,,Cse,Phd,,,,P-4450,Uni,,,,123456877
F-00090,U-0003,C-32630,,9999995936,,,,,Married,INDIAN,,,88882321,,Me,MS,,,,P-4451,Boi,,,,123456878
F-00091,U-0003,C-32630,,9999995937,,,,,Married,INDIAN,,,88882322,,Ce,Dr,,,,P-4452,Sbi ,,,,123456879
F-00092,U-0003,C-32630,,9999995938,,,,,Married,INDIAN,,,88882323,,IT,Dr,,,,P-4453,Pnb,,,,123456880
F-00093,U-0003,C-32630,,9999995939,,,,,Un-Married,INDIAN,,,88882324,,Cse,Dr,,,,P-4454,Sbi,,,,123456881
F-00094,U-0003,C-32630,,9999995940,,,,,Married,INDIAN,,,88882325,,IT,MS,,,,P-4455,Pnb,,,,123456882
F-00095,U-0003,C-32630,,9999995941,,,,,Married,INDIAN,,,88882326,,IT,MS,,,,P-4456,Hdfc,,,,123456883
F-00096,U-0003,C-32630,,9999995942,,,,,Married,INDIAN,,,88882327,,CSE,Dr,,,,P-4457,Sbi,,,,123456884
F-00097,U-0003,C-32630,,9999995943,,,,,Married,INDIAN,,,88882328,,ECE,Bsc,,,,P-4458,Uni,,,,123456885
F-00098,U-0003,C-32630,,9999995944,,,,,Un-Married,INDIAN,,,88882329,,Cse,MS,,,,P-4459,Axis,,,,123456886
F-00099,U-0003,C-32630,,9999995945,,,,,Un-Married,INDIAN,,,88882330,,IT,Dr,,,,P-4460,Icici,,,,123456887
F-00100,U-0003,C-32630,,9999995946,,,,,Married,INDIAN,,,88882331,,Ece,MS,,,,P-4461,Sbi,,,,123456888
F-00101,U-0736,C-29246,,9999995947,,,,,Married,INDIAN,,,88882332,,Ece,Dr,,,,P-4462,Sbi,,,,123456889
F-00102,U-0736,C-29246,,9999995948,,,,,Un-Married,INDIAN,,,88882333,,ME,Phd,,,,P-4463,Pnb,,,,123456890
F-00103,U-0736,C-29246,,9999995949,,,,,Married,INDIAN,,,88882334,,CE,Phd,,,,P-4464,Canara,,,,123456891
F-00104,U-0736,C-29246,,9999995950,,,,,Un-Married,INDIAN,,,88882335,,ME,MS,,,,P-4465,Sbi,,,,123456892
F-00105,U-0736,C-29246,,9999995951,,,,,Un-Married,INDIAN,,,88882336,,CE,Dr,,,,P-4466,Sbi,,,,123456893
F-00106,U-0736,C-29246,,9999995952,,,,,Married,INDIAN,,,88882337,,Cse,Dr,,,,P-4467,Canara,,,,123456894
F-00107,U-0736,C-29246,,9999995953,,,,,Married,INDIAN,,,88882338,,Cse,Dr,,,,P-4468,Sbi,,,,123456895
F-00108,U-0736,C-29246,,9999995954,,,,,Married,INDIAN,,,88882339,,IT,MS,,,,P-4469,Hdfc,,,,123456896
F-00109,U-0736,C-29246,,9999995955,,,,,Married,INDIAN,,,88882340,,Ece,MS,,,,P-4470,Sbi,,,,123456897
F-00110,U-0736,C-29246,,9999995956,,,,,Married,INDIAN,,,88882341,,Ece,Dr,,,,P-4471,Axis,,,,123456898
F-00111,U-0736,C-29246,,9999995957,,,,,Married,INDIAN,,,88882342,,Cse,Bsc,,,,P-4472,icici,,,,123456899
F-00112,U-0736,C-29246,,9999995958,,,,,Married,INDIAN,,,88882343,,Cse,MS,,,,P-4473,Uni,,,,123456900
F-00113,U-0736,C-29246,,9999995959,,,,,Married,INDIAN,,,88882344,,Me,Dr,,,,P-4474,Boi,,,,123456901
F-00114,U-0736,C-29246,,9999995960,,,,,Married,INDIAN,,,88882345,,Ce,MS,,,,P-4475,Sbi ,,,,123456902
F-00115,U-0736,C-29246,,9999995961,,,,,Un-Married,INDIAN,,,88882346,,IT,Dr,,,,P-4476,Pnb,,,,123456903
F-00116,U-0736,C-29246,,9999995962,,,,,Married,INDIAN,,,88882347,,Cse,Dr,,,,P-4477,Sbi,,,,123456904
F-00117,U-0736,C-29246,,9999995963,,,,,Married,INDIAN,,,88882348,,IT,Dr,,,,P-4478,Pnb,,,,123456905
F-00118,U-0736,C-29246,,9999995964,,,,,Married,INDIAN,,,88882349,,IT,MS,,,,P-4479,Hdfc,,,,123456906
F-00119,U-0736,C-29246,,9999995965,,,,,Married,INDIAN,,,88882350,,CSE,MS,,,,P-4480,Sbi,,,,123456907
F-00120,U-0736,C-29246,,9999995966,,,,,Un-Married,INDIAN,,,88882351,,ECE,Dr,,,,P-4481,Uni,,,,123456908
F-00121,U-0736,C-29246,,9999995967,,,,,Un-Married,INDIAN,,,88882352,,Cse,Bsc,,,,P-4482,Axis,,,,123456909
F-00122,U-0736,C-29246,,9999995968,,,,,Married,INDIAN,,,88882353,,IT,MS,,,,P-4483,Icici,,,,123456910
F-00123,U-0736,C-29246,,9999995969,,,,,Married,INDIAN,,,88882354,,Ece,Dr,,,,P-4484,Sbi,,,,123456911
F-00124,U-0736,C-29246,,9999995970,,,,,Un-Married,INDIAN,,,88882355,,Ece,MS,,,,P-4485,Sbi,,,,123456912
F-00125,U-0736,C-29246,,9999995971,,,,,Married,INDIAN,,,88882356,,ME,Dr,,,,P-4486,Pnb,,,,123456913
F-00126,U-0736,C-29246,,9999995972,,,,,Un-Married,INDIAN,,,88882357,,CE,Phd,,,,P-4487,Canara,,,,123456914
F-00127,U-0736,C-29246,,9999995973,,,,,Un-Married,INDIAN,,,88882358,,ME,Phd,,,,P-4488,Sbi,,,,123456915
F-00128,U-0736,C-29246,,9999995974,,,,,Married,INDIAN,,,88882359,,CE,MS,,,,P-4489,Sbi,,,,123456916
F-00129,U-0736,C-29246,,9999995975,,,,,Married,INDIAN,,,88882360,,Cse,Dr,,,,P-4490,Canara,,,,123456917
F-00130,U-0736,C-29246,,9999995976,,,,,Married,INDIAN,,,88882361,,Cse,Dr,,,,P-4491,Sbi,,,,123456918
F-00131,U-0736,C-29246,,9999995977,,,,,Married,INDIAN,,,88882362,,IT,Dr,,,,P-4492,Hdfc,,,,123456919
F-00132,U-0736,C-29246,,9999995978,,,,,Married,INDIAN,,,88882363,,Ece,MS,,,,P-4493,Sbi,,,,123456920
F-00133,U-0736,C-29246,,9999995979,,,,,Married,INDIAN,,,88882364,,Ece,MS,,,,P-4494,Axis,,,,123456921
F-00134,U-0736,C-29246,,9999995980,,,,,Married,INDIAN,,,88882365,,Cse,Dr,,,,P-4495,icici,,,,123456922
F-00135,U-0736,C-29246,,9999995981,,,,,Married,INDIAN,,,88882366,,Cse,Bsc,,,,P-4496,Uni,,,,123456923
F-00136,U-0736,C-29246,,9999995982,,,,,Married,INDIAN,,,88882367,,Me,MS,,,,P-4497,Boi,,,,123456924
F-00137,U-0736,C-29246,,9999995983,,,,,Un-Married,INDIAN,,,88882368,,Ce,Dr,,,,P-4498,Sbi ,,,,123456925
F-00138,U-0736,C-29246,,9999995984,,,,,Married,INDIAN,,,88882369,,IT,MS,,,,P-4499,Pnb,,,,123456926
F-00139,U-0736,C-29246,,9999995985,,,,,Married,INDIAN,,,88882370,,Cse,Dr,,,,P-4500,Sbi,,,,123456927
F-00140,U-0736,C-29246,,9999995986,,,,,Married,INDIAN,,,88882371,,IT,Phd,,,,P-4501,Pnb,,,,123456928
F-00141,U-0736,C-29246,,9999995987,,,,,Married,INDIAN,,,88882372,,IT,Phd,,,,P-4502,Hdfc,,,,123456929
F-00142,U-0736,C-29246,,9999995988,,,,,Un-Married,INDIAN,,,88882373,,CSE,MS,,,,P-4503,Sbi,,,,123456930
F-00143,U-0736,C-29246,,9999995989,,,,,Un-Married,INDIAN,,,88882374,,ECE,Dr,,,,P-4504,Uni,,,,123456931
F-00144,U-0736,C-29246,,9999995990,,,,,Married,INDIAN,,,88882375,,Cse,Dr,,,,P-4505,Axis,,,,123456932
F-00145,U-0736,C-29246,,9999995991,,,,,Married,INDIAN,,,88882376,,IT,Dr,,,,P-4506,Icici,,,,123456933
F-00146,U-0736,C-29246,,9999995992,,,,,Un-Married,INDIAN,,,88882377,,Ece,MS,,,,P-4507,Sbi,,,,123456934
F-00147,U-0736,C-29246,,9999995993,,,,,Married,INDIAN,,,88882378,,Ece,MS,,,,P-4508,Sbi,,,,123456935
F-00148,U-0736,C-29246,,9999995994,,,,,Un-Married,INDIAN,,,88882379,,ME,Dr,,,,P-4509,Pnb,,,,123456936
F-00149,U-0005,C-24297,,9999995995,,,,,Un-Married,INDIAN,,,88882380,,CE,Bsc,,,,P-4510,Canara,,,,123456937
F-00150,U-0005,C-24297,,9999995996,,,,,Married,INDIAN,,,88882381,,ME,MS,,,,P-4511,Sbi,,,,123456938
F-00151,U-0005,C-24297,,9999995997,,,,,Married,INDIAN,,,88882382,,CE,Dr,,,,P-4512,Sbi,,,,123456939
F-00152,U-0005,C-24297,,9999995998,,,,,Married,INDIAN,,,88882383,,Cse,MS,,,,P-4513,Canara,,,,123456940
F-00153,U-0005,C-24297,,9999995999,,,,,Married,INDIAN,,,88882384,,Cse,Dr,,,,P-4514,Sbi,,,,123456941
F-00154,U-0005,C-24297,,9999996000,,,,,Married,INDIAN,,,88882385,,IT,Dr,,,,P-4515,Hdfc,,,,123456942
F-00155,U-0005,C-24297,,9999996001,,,,,Married,INDIAN,,,88882386,,Ece,Dr,,,,P-4516,Sbi,,,,123456943
F-00156,U-0005,C-24297,,9999996002,,,,,Married,INDIAN,,,88882387,,Ece,MS,,,,P-4517,Axis,,,,123456944
F-00157,U-0005,C-24297,,9999996003,,,,,Married,INDIAN,,,88882388,,Cse,MS,,,,P-4518,icici,,,,123456945
F-00158,U-0005,C-24297,,9999996004,,,,,Married,INDIAN,,,88882389,,Cse,Dr,,,,P-4519,Uni,,,,123456946
F-00159,U-0005,C-24297,,9999996005,,,,,Un-Married,INDIAN,,,88882390,,Me,Bsc,,,,P-4520,Boi,,,,123456947
F-00160,U-0005,C-24297,,9999996006,,,,,Married,INDIAN,,,88882391,,Ce,MS,,,,P-4521,Sbi ,,,,123456948
F-00161,U-0005,C-24297,,9999996007,,,,,Married,INDIAN,,,88882392,,IT,Dr,,,,P-4522,Pnb,,,,123456949
F-00162,U-0005,C-24297,,9999996008,,,,,Married,INDIAN,,,88882393,,Cse,MS,,,,P-4523,Sbi,,,,123456950
F-00163,U-0005,C-24297,,9999996009,,,,,Married,INDIAN,,,88882394,,IT,Dr,,,,P-4524,Pnb,,,,123456951
F-00164,U-0005,C-24297,,9999996010,,,,,Un-Married,INDIAN,,,88882395,,IT,Phd,,,,P-4525,Hdfc,,,,123456952
F-00165,U-0005,C-24297,,9999996011,,,,,Un-Married,INDIAN,,,88882396,,CSE,Phd,,,,P-4526,Sbi,,,,123456953
F-00166,U-0005,C-24297,,9999996012,,,,,Married,INDIAN,,,88882397,,ECE,MS,,,,P-4527,Uni,,,,123456954
F-00167,U-0005,C-24297,,9999996013,,,,,Married,INDIAN,,,88882398,,Cse,Dr,,,,P-4528,Axis,,,,123456955
F-00168,U-0005,C-24297,,9999996014,,,,,Un-Married,INDIAN,,,88882399,,IT,Dr,,,,P-4529,Icici,,,,123456956
F-00169,U-0005,C-24297,,9999996015,,,,,Married,INDIAN,,,88882400,,Ece,Dr,,,,P-4530,Sbi,,,,123456957
F-00170,U-0005,C-24297,,9999996016,,,,,Un-Married,INDIAN,,,88882401,,Ece,MS,,,,P-4531,Sbi,,,,123456958
F-00171,U-0005,C-24297,,9999996017,,,,,Un-Married,INDIAN,,,88882402,,ME,MS,,,,P-4532,Pnb,,,,123456959
F-00172,U-0005,C-24297,,9999996018,,,,,Married,INDIAN,,,88882403,,CE,Dr,,,,P-4533,Canara,,,,123456960
F-00173,U-0005,C-24297,,9999996019,,,,,Married,INDIAN,,,88882404,,ME,Bsc,,,,P-4534,Sbi,,,,123456961
F-00174,U-0005,C-24297,,9999996020,,,,,Married,INDIAN,,,88882405,,CE,MS,,,,P-4535,Sbi,,,,123456962
F-00175,U-0005,C-24297,,9999996021,,,,,Married,INDIAN,,,88882406,,Cse,Dr,,,,P-4536,Canara,,,,123456963
F-00176,U-0005,C-24297,,9999996022,,,,,Married,INDIAN,,,88882407,,Cse,MS,,,,P-4537,Sbi,,,,123456964
F-00177,U-0005,C-24297,,9999996023,,,,,Married,INDIAN,,,88882408,,IT,Dr,,,,P-4538,Hdfc,,,,123456965
F-00178,U-0005,C-24297,,9999996024,,,,,Married,INDIAN,,,88882409,,Ece,Phd,,,,P-4539,Sbi,,,,123456966
F-00179,U-0005,C-24297,,9999996025,,,,,Married,INDIAN,,,88882410,,Ece,Phd,,,,P-4540,Axis,,,,123456967
F-00180,U-0005,C-24297,,9999996026,,,,,Married,INDIAN,,,88882411,,Cse,MS,,,,P-4541,icici,,,,123456968
F-00181,U-0005,C-24297,,9999996027,,,,,Un-Married,INDIAN,,,88882412,,Cse,Dr,,,,P-4542,Uni,,,,123456969
F-00182,U-0005,C-24297,,9999996028,,,,,Married,INDIAN,,,88882413,,Me,Dr,,,,P-4543,Boi,,,,123456970
F-00183,U-0005,C-24297,,9999996029,,,,,Married,INDIAN,,,88882414,,Ce,Dr,,,,P-4544,Sbi ,,,,123456971
F-00184,U-0005,C-24297,,9999996030,,,,,Married,INDIAN,,,88882415,,IT,MS,,,,P-4545,Pnb,,,,123456972
F-00185,U-0005,C-24297,,9999996031,,,,,Married,INDIAN,,,88882416,,Cse,MS,,,,P-4546,Sbi,,,,123456973
F-00186,U-0005,C-24297,,9999996032,,,,,Un-Married,INDIAN,,,88882417,,IT,Dr,,,,P-4547,Pnb,,,,123456974
F-00187,U-0005,C-24297,,9999996033,,,,,Un-Married,INDIAN,,,88882418,,IT,Bsc,,,,P-4548,Hdfc,,,,123456975
F-00188,U-0005,C-24297,,9999996034,,,,,Married,INDIAN,,,88882419,,CSE,MS,,,,P-4549,Sbi,,,,123456976
F-00189,U-0005,C-24297,,9999996035,,,,,Married,INDIAN,,,88882420,,ECE,Dr,,,,P-4550,Uni,,,,123456977
F-00190,U-0005,C-24297,,9999996036,,,,,Un-Married,INDIAN,,,88882421,,Cse,MS,,,,P-4551,Axis,,,,123456978
F-00191,U-0005,C-24297,,9999996037,,,,,Married,INDIAN,,,88882422,,IT,Dr,,,,P-4552,Icici,,,,123456979
F-00192,U-0005,C-24297,,9999996038,,,,,Un-Married,INDIAN,,,88882423,,Ece,Dr,,,,P-4553,Sbi,,,,123456980
F-00193,U-0005,C-24297,,9999996039,,,,,Un-Married,INDIAN,,,88882424,,Ece,Dr,,,,P-4554,Sbi,,,,123456981
F-00194,U-0005,C-24297,,9999996040,,,,,Married,INDIAN,,,88882425,,ME,MS,,,,P-4555,Pnb,,,,123456982
F-00195,U-0005,C-24297,,9999996041,,,,,Married,INDIAN,,,88882426,,CE,MS,,,,P-4556,Canara,,,,123456983
F-00196,U-0005,C-24297,,9999996042,,,,,Married,INDIAN,,,88882427,,ME,Dr,,,,P-4557,Sbi,,,,123456984
F-00197,U-0005,C-24297,,9999996043,,,,,Married,INDIAN,,,88882428,,CE,Bsc,,,,P-4558,Sbi,,,,123456985
F-00198,U-0005,C-24297,,9999996044,,,,,Married,INDIAN,,,88882429,,Cse,MS,,,,P-4559,Canara,,,,123456986
