Faculty ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Full Name,Email,Login ID ,Password,Is Aadhaar Verified?,Are Bank Details Verified?,Is PAN Verified?
F-00096,U-0003,C-32630,,,F-00096,password,No,No,No
F-00097,U-0003,C-32630,,,F-00097,password,Yes,Yes,Yes
F-00098,U-0003,C-32630,,,F-00098,password,Yes,Yes,Yes
F-00099,U-0003,C-32630,,,F-00099,password,No,No,No
F-00100,U-0003,C-32630,,,F-00100,password,No,No,No
F-00101,U-0736,C-29246,,,F-00101,password,Yes,Yes,Yes
F-00102,U-0736,C-29246,,,F-00102,password,No,No,No
F-00103,U-0736,C-29246,,,F-00103,password,Yes,Yes,Yes
F-00104,U-0736,C-29246,,,F-00104,password,No,No,No
F-00105,U-0736,C-29246,,,F-00105,password,Yes,Yes,Yes
F-00106,U-0736,C-29246,,,F-00106,password,Yes,Yes,Yes
F-00107,U-0736,C-29246,,,F-00107,password,Yes,Yes,Yes
F-00108,U-0736,C-29246,,,F-00108,password,No,No,No
F-00109,U-0736,C-29246,,,F-00109,password,Yes,Yes,Yes
F-00110,U-0736,C-29246,,,F-00110,password,Yes,Yes,Yes
F-00111,U-0736,C-29246,,,F-00111,password,Yes,Yes,Yes
F-00112,U-0736,C-29246,,,F-00112,password,No,No,No
F-00113,U-0736,C-29246,,,F-00113,password,Yes,Yes,Yes
F-00114,U-0736,C-29246,,,F-00114,password,No,No,No
F-00115,U-0736,C-29246,,,F-00115,password,Yes,Yes,Yes
F-00116,U-0736,C-29246,,,F-00116,password,Yes,Yes,Yes
F-00117,U-0736,C-29246,,,F-00117,password,No,No,No
F-00118,U-0736,C-29246,,,F-00118,password,No,No,No
F-00119,U-0736,C-29246,,,F-00119,password,Yes,Yes,Yes
F-00120,U-0736,C-29246,,,F-00120,password,No,No,No
F-00121,U-0736,C-29246,,,F-00121,password,Yes,Yes,Yes
F-00122,U-0736,C-29246,,,F-00122,password,No,No,No
F-00123,U-0736,C-29246,,,F-00123,password,Yes,Yes,Yes
F-00124,U-0736,C-29246,,,F-00124,password,Yes,Yes,Yes
F-00125,U-0736,C-29246,,,F-00125,password,Yes,Yes,Yes
F-00126,U-0736,C-29246,,,F-00126,password,No,No,No
F-00127,U-0736,C-29246,,,F-00127,password,Yes,Yes,Yes
F-00128,U-0736,C-29246,,,F-00128,password,Yes,Yes,Yes
F-00129,U-0736,C-29246,,,F-00129,password,Yes,Yes,Yes
F-00130,U-0736,C-29246,,,F-00130,password,No,No,No
F-00131,U-0736,C-29246,,,F-00131,password,Yes,Yes,Yes
F-00132,U-0736,C-29246,,,F-00132,password,No,No,No
F-00133,U-0736,C-29246,,,F-00133,password,Yes,Yes,Yes
F-00134,U-0736,C-29246,,,F-00134,password,Yes,Yes,Yes
F-00135,U-0736,C-29246,,,F-00135,password,No,No,No
F-00136,U-0736,C-29246,,,F-00136,password,No,No,No
F-00137,U-0736,C-29246,,,F-00137,password,Yes,Yes,Yes
F-00138,U-0736,C-29246,,,F-00138,password,No,No,No
F-00139,U-0736,C-29246,,,F-00139,password,Yes,Yes,Yes
F-00140,U-0736,C-29246,,,F-00140,password,No,No,No
F-00141,U-0736,C-29246,,,F-00141,password,Yes,Yes,Yes
F-00142,U-0736,C-29246,,,F-00142,password,Yes,Yes,Yes
F-00143,U-0736,C-29246,,,F-00143,password,Yes,Yes,Yes
F-00144,U-0736,C-29246,,,F-00144,password,No,No,No
F-00145,U-0736,C-29246,,,F-00145,password,Yes,Yes,Yes
F-00146,U-0736,C-29246,,,F-00146,password,Yes,Yes,Yes
F-00147,U-0736,C-29246,,,F-00147,password,Yes,Yes,Yes
F-00148,U-0736,C-29246,,,F-00148,password,No,No,No
F-00149,U-0005,C-24297,,,F-00149,password,Yes,Yes,Yes
F-00150,U-0005,C-24297,,,F-00150,password,No,No,No
F-00151,U-0005,C-24297,,,F-00151,password,Yes,Yes,Yes
F-00152,U-0005,C-24297,,,F-00152,password,Yes,Yes,Yes
F-00153,U-0005,C-24297,,,F-00153,password,No,No,No
F-00154,U-0005,C-24297,,,F-00154,password,No,No,No
F-00155,U-0005,C-24297,,,F-00155,password,Yes,Yes,Yes
F-00156,U-0005,C-24297,,,F-00156,password,No,No,No
F-00157,U-0005,C-24297,,,F-00157,password,Yes,Yes,Yes
F-00158,U-0005,C-24297,,,F-00158,password,No,No,No
F-00159,U-0005,C-24297,,,F-00159,password,Yes,Yes,Yes
F-00160,U-0005,C-24297,,,F-00160,password,Yes,Yes,Yes
F-00161,U-0005,C-24297,,,F-00161,password,Yes,Yes,Yes
F-00162,U-0005,C-24297,,,F-00162,password,No,No,No
F-00163,U-0005,C-24297,,,F-00163,password,Yes,Yes,Yes
F-00164,U-0005,C-24297,,,F-00164,password,Yes,Yes,Yes
F-00165,U-0005,C-24297,,,F-00165,password,Yes,Yes,Yes
F-00166,U-0005,C-24297,,,F-00166,password,No,No,No
F-00167,U-0005,C-24297,,,F-00167,password,Yes,Yes,Yes
F-00168,U-0005,C-24297,,,F-00168,password,No,No,No
F-00169,U-0005,C-24297,,,F-00169,password,Yes,Yes,Yes
F-00170,U-0005,C-24297,,,F-00170,password,Yes,Yes,Yes
F-00171,U-0005,C-24297,,,F-00171,password,No,No,No
F-00172,U-0005,C-24297,,,F-00172,password,No,No,No
F-00173,U-0005,C-24297,,,F-00173,password,Yes,Yes,Yes
F-00174,U-0005,C-24297,,,F-00174,password,No,No,No
F-00175,U-0005,C-24297,,,F-00175,password,Yes,Yes,Yes
F-00176,U-0005,C-24297,,,F-00176,password,No,No,No
F-00177,U-0005,C-24297,,,F-00177,password,Yes,Yes,Yes
F-00178,U-0005,C-24297,,,F-00178,password,Yes,Yes,Yes
F-00179,U-0005,C-24297,,,F-00179,password,Yes,Yes,Yes
F-00180,U-0005,C-24297,,,F-00180,password,No,No,No
F-00181,U-0005,C-24297,,,F-00181,password,Yes,Yes,Yes
F-00182,U-0005,C-24297,,,F-00182,password,Yes,Yes,Yes
F-00183,U-0005,C-24297,,,F-00183,password,Yes,Yes,Yes
F-00184,U-0005,C-24297,,,F-00184,password,No,No,No
F-00185,U-0005,C-24297,,,F-00185,password,Yes,Yes,Yes
F-00186,U-0005,C-24297,,,F-00186,password,No,No,No
F-00187,U-0005,C-24297,,,F-00187,password,Yes,Yes,Yes
F-00188,U-0005,C-24297,,,F-00188,password,Yes,Yes,Yes
F-00189,U-0005,C-24297,,,F-00189,password,No,No,No
F-00190,U-0005,C-24297,,,F-00190,password,No,No,No
F-00191,U-0005,C-24297,,,F-00191,password,Yes,Yes,Yes
F-00192,U-0005,C-24297,,,F-00192,password,No,No,No
F-00193,U-0005,C-24297,,,F-00193,password,Yes,Yes,Yes
F-00194,U-0005,C-24297,,,F-00194,password,No,No,No
F-00195,U-0005,C-24297,,,F-00195,password,Yes,Yes,Yes
F-00196,U-0005,C-24297,,,F-00196,password,Yes,Yes,Yes
F-00197,U-0005,C-24297,,,F-00197,password,Yes,Yes,Yes
F-00198,U-0005,C-24297,,,F-00198,password,No,No,No
F-00199,U-0005,C-24297,,,F-00199,password,Yes,Yes,Yes
F-00200,U-0005,C-24297,,,F-00200,password,Yes,Yes,Yes
F-00201,U-0005,C-24297,,,F-00201,password,Yes,Yes,Yes
F-00202,U-0005,C-24297,,,F-00202,password,No,No,No
F-00203,U-0005,C-24297,,,F-00203,password,Yes,Yes,Yes
F-00204,U-0005,C-24297,,,F-00204,password,No,No,No
F-00205,U-0005,C-24297,,,F-00205,password,Yes,Yes,Yes
F-00206,U-0005,C-24297,,,F-00206,password,Yes,Yes,Yes
F-00207,U-0005,C-24297,,,F-00207,password,No,No,No
F-00208,U-0005,C-24297,,,F-00208,password,No,No,No
F-00209,U-0005,C-24297,,,F-00209,password,Yes,Yes,Yes
F-00210,U-0005,C-24297,,,F-00210,password,No,No,No
F-00211,U-0005,C-24297,,,F-00211,password,Yes,Yes,Yes
F-00212,U-0005,C-24297,,,F-00212,password,No,No,No
F-00213,U-0005,C-24297,,,F-00213,password,Yes,Yes,Yes
F-00214,U-0005,C-24297,,,F-00214,password,Yes,Yes,Yes
F-00215,U-0005,C-24297,,,F-00215,password,Yes,Yes,Yes
F-00216,U-0005,C-24297,,,F-00216,password,No,No,No
F-00217,U-0005,C-24297,,,F-00217,password,Yes,Yes,Yes
F-00218,U-0005,C-24297,,,F-00218,password,Yes,Yes,Yes
F-00219,U-0005,C-24297,,,F-00219,password,Yes,Yes,Yes
F-00220,U-0005,C-24297,,,F-00220,password,No,No,No
F-00221,U-0005,C-24297,,,F-00221,password,Yes,Yes,Yes
F-00222,U-0005,C-24297,,,F-00222,password,No,No,No
F-00223,U-0005,C-24297,,,F-00223,password,Yes,Yes,Yes
F-00224,U-0005,C-24297,,,F-00224,password,Yes,Yes,Yes
F-00225,U-0005,C-24297,,,F-00225,password,No,No,No
F-00226,U-0005,C-24297,,,F-00226,password,No,No,No
F-00227,U-0005,C-24297,,,F-00227,password,Yes,Yes,Yes
F-00228,U-0005,C-24297,,,F-00228,password,No,No,No
F-00229,U-0005,C-24297,,,F-00229,password,Yes,Yes,Yes
F-00230,U-0005,C-24297,,,F-00230,password,No,No,No
F-00231,U-0005,C-24297,,,F-00231,password,Yes,Yes,Yes
F-00232,U-0005,C-24297,,,F-00232,password,Yes,Yes,Yes
F-00233,U-0005,C-24297,,,F-00233,password,Yes,Yes,Yes
F-00234,U-0005,C-24297,,,F-00234,password,No,No,No
F-00235,U-0005,C-24297,,,F-00235,password,Yes,Yes,Yes
F-00236,U-0005,C-24297,,,F-00236,password,Yes,Yes,Yes
F-00237,U-0005,C-24297,,,F-00237,password,Yes,Yes,Yes
F-00238,U-0005,C-24297,,,F-00238,password,No,No,No
F-00239,U-0005,C-24297,,,F-00239,password,Yes,Yes,Yes
F-00240,U-0005,C-24297,,,F-00240,password,No,No,No
F-00241,U-0005,C-24297,,,F-00241,password,Yes,Yes,Yes
F-00242,U-0005,C-24297,,,F-00242,password,Yes,Yes,Yes
F-00243,U-0005,C-24297,,,F-00243,password,No,No,No
F-00244,U-0005,C-24297,,,F-00244,password,No,No,No
F-00245,U-0005,C-24297,,,F-00245,password,Yes,Yes,Yes
F-00246,U-0005,C-24193,,,F-00246,password,No,No,No
F-00247,U-0005,C-24193,,,F-00247,password,Yes,Yes,Yes
F-00248,U-0005,C-24193,,,F-00248,password,No,No,No
F-00249,U-0005,C-24193,,,F-00249,password,Yes,Yes,Yes
F-00250,U-0005,C-24193,,,F-00250,password,Yes,Yes,Yes
F-00251,U-0005,C-24193,,,F-00251,password,Yes,Yes,Yes
F-00252,U-0005,C-24193,,,F-00252,password,No,No,No
F-00253,U-0005,C-24193,,,F-00253,password,Yes,Yes,Yes
F-00254,U-0005,C-24193,,,F-00254,password,Yes,Yes,Yes
F-00255,U-0005,C-24193,,,F-00255,password,Yes,Yes,Yes
F-00256,U-0005,C-24193,,,F-00256,password,No,No,No
F-00257,U-0005,C-24193,,,F-00257,password,Yes,Yes,Yes
F-00258,U-0005,C-24193,,,F-00258,password,No,No,No
F-00259,U-0005,C-24193,,,F-00259,password,Yes,Yes,Yes
F-00260,U-0005,C-24193,,,F-00260,password,Yes,Yes,Yes
F-00261,U-0005,C-24193,,,F-00261,password,No,No,No
F-00262,U-0005,C-24193,,,F-00262,password,No,No,No
F-00263,U-0005,C-24193,,,F-00263,password,Yes,Yes,Yes
F-00264,U-0005,C-24193,,,F-00264,password,No,No,No
F-00265,U-0005,C-24193,,,F-00265,password,Yes,Yes,Yes
F-00266,U-0005,C-24193,,,F-00266,password,No,No,No
F-00267,U-0005,C-24193,,,F-00267,password,Yes,Yes,Yes
F-00268,U-0005,C-24193,,,F-00268,password,Yes,Yes,Yes
F-00269,U-0005,C-24193,,,F-00269,password,Yes,Yes,Yes
F-00270,U-0005,C-24193,,,F-00270,password,No,No,No
F-00271,U-0005,C-24193,,,F-00271,password,Yes,Yes,Yes
F-00272,U-0005,C-24193,,,F-00272,password,Yes,Yes,Yes
F-00273,U-0005,C-24193,,,F-00273,password,Yes,Yes,Yes
F-00274,U-0005,C-24193,,,F-00274,password,No,No,No
F-00275,U-0005,C-24193,,,F-00275,password,Yes,Yes,Yes
F-00276,U-0005,C-24193,,,F-00276,password,No,No,No
F-00277,U-0005,C-24193,,,F-00277,password,Yes,Yes,Yes
F-00278,U-0005,C-24193,,,F-00278,password,Yes,Yes,Yes
F-00279,U-0005,C-24193,,,F-00279,password,No,No,No
F-00280,U-0005,C-24193,,,F-00280,password,No,No,No
F-00281,U-0005,C-24193,,,F-00281,password,Yes,Yes,Yes
F-00282,U-0005,C-24193,,,F-00282,password,No,No,No
F-00283,U-0005,C-24193,,,F-00283,password,Yes,Yes,Yes
F-00284,U-0005,C-24193,,,F-00284,password,No,No,No
F-00285,U-0005,C-24193,,,F-00285,password,Yes,Yes,Yes
F-00286,U-0005,C-24193,,,F-00286,password,Yes,Yes,Yes
F-00287,U-0005,C-24193,,,F-00287,password,Yes,Yes,Yes
F-00288,U-0005,C-24193,,,F-00288,password,No,No,No
F-00289,U-0005,C-24193,,,F-00289,password,Yes,Yes,Yes
F-00290,U-0005,C-24193,,,F-00290,password,Yes,Yes,Yes
F-00291,U-0005,C-24193,,,F-00291,password,Yes,Yes,Yes
F-00292,U-0005,C-24193,,,F-00292,password,No,No,No
F-00293,U-0005,C-24193,,,F-00293,password,Yes,Yes,Yes
F-00294,U-0005,C-24193,,,F-00294,password,No,No,No
F-00295,U-0005,C-24193,,,F-00295,password,Yes,Yes,Yes
F-00296,U-0005,C-24193,,,F-00296,password,Yes,Yes,Yes
F-00297,U-0005,C-24193,,,F-00297,password,No,No,No
F-00298,U-0005,C-24193,,,F-00298,password,No,No,No
F-00299,U-0005,C-24193,,,F-00299,password,Yes,Yes,Yes
F-00300,U-0005,C-24193,,,F-00300,password,No,No,No
F-00301,U-0005,C-24193,,,F-00301,password,Yes,Yes,Yes
F-00302,U-0005,C-24193,,,F-00302,password,No,No,No
F-00303,U-0005,C-24193,,,F-00303,password,Yes,Yes,Yes
F-00304,U-0005,C-24193,,,F-00304,password,Yes,Yes,Yes
F-00305,U-0005,C-24193,,,F-00305,password,Yes,Yes,Yes
F-00306,U-0005,C-24193,,,F-00306,password,No,No,No
F-00307,U-0005,C-24193,,,F-00307,password,Yes,Yes,Yes
F-00308,U-0005,C-24193,,,F-00308,password,Yes,Yes,Yes
F-00309,U-0005,C-24193,,,F-00309,password,Yes,Yes,Yes
F-00310,U-0005,C-24193,,,F-00310,password,No,No,No
F-00311,U-0005,C-24193,,,F-00311,password,Yes,Yes,Yes
F-00312,U-0005,C-24193,,,F-00312,password,No,No,No
F-00313,U-0005,C-24193,,,F-00313,password,Yes,Yes,Yes
F-00314,U-0005,C-24193,,,F-00314,password,Yes,Yes,Yes
F-00315,U-0005,C-24193,,,F-00315,password,No,No,No
F-00316,U-0005,C-24193,,,F-00316,password,No,No,No
F-00317,U-0005,C-24193,,,F-00317,password,Yes,Yes,Yes
F-00318,U-0005,C-24193,,,F-00318,password,No,No,No
F-00319,U-0005,C-24193,,,F-00319,password,Yes,Yes,Yes
F-00320,U-0005,C-24193,,,F-00320,password,No,No,No
F-00321,U-0005,C-24193,,,F-00321,password,Yes,Yes,Yes
F-00322,U-0005,C-24193,,,F-00322,password,Yes,Yes,Yes
F-00323,U-0005,C-24193,,,F-00323,password,Yes,Yes,Yes
F-00324,U-0005,C-24193,,,F-00324,password,No,No,No
F-00325,U-0005,C-24193,,,F-00325,password,Yes,Yes,Yes
F-00326,U-0005,C-24193,,,F-00326,password,Yes,Yes,Yes
F-00327,U-0005,C-24193,,,F-00327,password,Yes,Yes,Yes
F-00328,U-0005,C-24193,,,F-00328,password,No,No,No
F-00329,U-0005,C-24193,,,F-00329,password,Yes,Yes,Yes
F-00330,U-0005,C-24193,,,F-00330,password,No,No,No
F-00331,U-0005,C-24193,,,F-00331,password,Yes,Yes,Yes
F-00332,U-0005,C-24193,,,F-00332,password,Yes,Yes,Yes
F-00333,U-0005,C-24193,,,F-00333,password,No,No,No
F-00334,U-0005,C-24193,,,F-00334,password,No,No,No
F-00335,U-0005,C-24193,,,F-00335,password,Yes,Yes,Yes
F-00336,U-0005,C-24193,,,F-00336,password,No,No,No
F-00337,U-0005,C-24193,,,F-00337,password,Yes,Yes,Yes
F-00338,U-0005,C-24193,,,F-00338,password,No,No,No
F-00339,U-0005,C-24193,,,F-00339,password,Yes,Yes,Yes
F-00340,U-0005,C-24193,,,F-00340,password,Yes,Yes,Yes
F-00341,U-0005,C-24193,,,F-00341,password,Yes,Yes,Yes
F-00342,U-0005,C-24193,,,F-00342,password,No,No,No
F-00343,U-0005,C-24193,,,F-00343,password,Yes,Yes,Yes
F-00344,U-0005,C-24193,,,F-00344,password,Yes,Yes,Yes
F-00345,U-0005,C-24193,,,F-00345,password,Yes,Yes,Yes
F-00346,U-0005,C-24193,,,F-00346,password,No,No,No
F-00347,U-0005,C-24193,,,F-00347,password,Yes,Yes,Yes
F-00348,U-0005,C-24193,,,F-00348,password,No,No,No
F-00349,U-0005,C-24193,,,F-00349,password,Yes,Yes,Yes
F-00350,U-0005,C-24193,,,F-00350,password,Yes,Yes,Yes
F-00351,U-0005,C-24193,,,F-00351,password,No,No,No
F-00352,U-0005,C-24193,,,F-00352,password,No,No,No
F-00353,U-0005,C-24193,,,F-00353,password,Yes,Yes,Yes
F-00354,U-0005,C-24193,,,F-00354,password,No,No,No
F-00355,U-0005,C-24193,,,F-00355,password,Yes,Yes,Yes
F-00356,U-0005,C-24193,,,F-00356,password,No,No,No
F-00357,U-0005,C-24193,,,F-00357,password,Yes,Yes,Yes
F-00358,U-0005,C-24193,,,F-00358,password,Yes,Yes,Yes
F-00359,U-0005,C-24193,,,F-00359,password,Yes,Yes,Yes
F-00360,U-0005,C-24193,,,F-00360,password,No,No,No
F-00361,U-0005,C-24193,,,F-00361,password,Yes,Yes,Yes
F-00362,U-0005,C-24193,,,F-00362,password,Yes,Yes,Yes
F-00363,U-0005,C-24193,,,F-00363,password,Yes,Yes,Yes
F-00364,U-0005,C-24193,,,F-00364,password,No,No,No
F-00365,U-0005,C-24193,,,F-00365,password,Yes,Yes,Yes
F-00366,U-0005,C-24193,,,F-00366,password,No,No,No
F-00367,U-0005,C-24193,,,F-00367,password,Yes,Yes,Yes
F-00368,U-0005,C-24193,,,F-00368,password,Yes,Yes,Yes
F-00369,U-0005,C-24193,,,F-00369,password,No,No,No
F-00370,U-0005,C-24193,,,F-00370,password,No,No,No
F-00371,U-0005,C-24193,,,F-00371,password,Yes,Yes,Yes
F-00372,U-0005,C-24193,,,F-00372,password,No,No,No
F-00373,U-0005,C-24193,,,F-00373,password,Yes,Yes,Yes
F-00374,U-0005,C-24193,,,F-00374,password,No,No,No
F-00375,U-0005,C-24193,,,F-00375,password,Yes,Yes,Yes
F-00376,U-0005,C-24193,,,F-00376,password,Yes,Yes,Yes
F-00377,U-0005,C-24193,,,F-00377,password,Yes,Yes,Yes
F-00378,U-0005,C-24193,,,F-00378,password,No,No,No
F-00379,U-0005,C-24193,,,F-00379,password,Yes,Yes,Yes
F-00380,U-0005,C-24193,,,F-00380,password,Yes,Yes,Yes
F-00381,U-0005,C-24193,,,F-00381,password,Yes,Yes,Yes
F-00382,U-0005,C-24193,,,F-00382,password,No,No,No
F-00383,U-0005,C-24193,,,F-00383,password,Yes,Yes,Yes
F-00384,U-0005,C-24193,,,F-00384,password,No,No,No
F-00385,U-0005,C-24193,,,F-00385,password,Yes,Yes,Yes
F-00386,U-0005,C-24193,,,F-00386,password,Yes,Yes,Yes
F-00387,U-0005,C-24193,,,F-00387,password,No,No,No
F-00388,U-0005,C-24193,,,F-00388,password,No,No,No
F-00389,U-0005,C-24193,,,F-00389,password,Yes,Yes,Yes
F-00390,U-0005,C-24193,,,F-00390,password,No,No,No
F-00391,U-0005,C-24193,,,F-00391,password,Yes,Yes,Yes
F-00392,U-0005,C-24193,,,F-00392,password,No,No,No
F-00393,U-0005,C-24193,,,F-00393,password,Yes,Yes,Yes
F-00394,U-0005,C-24193,,,F-00394,password,Yes,Yes,Yes
F-00395,U-0005,C-24193,,,F-00395,password,Yes,Yes,Yes
F-00396,U-0005,C-24193,,,F-00396,password,No,No,No
F-00397,U-0005,C-24193,,,F-00397,password,Yes,Yes,Yes
F-00398,U-0005,C-24193,,,F-00398,password,Yes,Yes,Yes
F-00399,U-0005,C-24193,,,F-00399,password,Yes,Yes,Yes
F-00400,U-0005,C-24193,,,F-00400,password,No,No,No
F-00401,U-0005,C-24193,,,F-00401,password,Yes,Yes,Yes
F-00402,U-0005,C-24193,,,F-00402,password,No,No,No
F-00403,U-0005,C-24193,,,F-00403,password,Yes,Yes,Yes
F-00404,U-0005,C-24193,,,F-00404,password,Yes,Yes,Yes
F-00405,U-0005,C-24193,,,F-00405,password,No,No,No
F-00406,U-0005,C-24193,,,F-00406,password,No,No,No
F-00407,U-0005,C-24193,,,F-00407,password,Yes,Yes,Yes
F-00408,U-0005,C-24193,,,F-00408,password,No,No,No
F-00409,U-0005,C-24193,,,F-00409,password,Yes,Yes,Yes
F-00410,U-0005,C-24193,,,F-00410,password,No,No,No
